".id","dataset","replicate.merging","rarity.cutoff","sample.type","frequency","percentage","log.freq","loess.5","loess.5.secderiv","Core","In-between","Satellite"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",46,43,3.8286413964891,3.77404311803297,-0.0000289131304133812,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",33,44,3.49650756146648,3.73204664458792,0.0114441167910692,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",41,45,3.71357206670431,3.69975083962255,0.0124564568442188,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",33,46,3.49650756146648,3.67991149150139,0.0134687968973685,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",40,47,3.68887945411394,3.6719721206072,0.00506821892804811,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",39,48,3.66356164612965,3.66925156799833,-0.00242876289759797,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",47,49,3.85014760171006,3.66410225249186,-0.00992574472324406,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",44,51,3.78418963391826,3.62810476540305,-0.00755666849528407,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",42,52,3.73766961828337,3.60021622295616,0.0058527070033025,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",25,53,3.2188758248682,3.57818038751257,0.0192620825018892,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",28,54,3.3322045101752,3.57319269368807,0.0193878127036429,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",37,55,3.61091791264422,3.58524015708343,0.00539761000270654,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",46,56,3.8286413964891,3.6026852304815,-0.00859259269823002,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",40,57,3.68887945411394,3.61404582225555,-0.00753412895384891,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",40,58,3.68887945411394,3.61787228507576,-0.00647566520946779,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",32,59,3.46573590279973,3.6162614358497,0.00081291751413075,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",38,60,3.63758615972639,3.61409851165643,-0.0000884546503491694,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",39,61,3.66356164612965,3.61184713281281,-0.000989826814829099,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",36,62,3.58351893845611,3.60954606129272,0.00374960585085091,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",34,63,3.52636052461616,3.60991666747678,0.00202146963638881,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",40,65,3.68887945411394,3.61499415253963,-0.00143480279253536,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",37,66,3.61091791264422,3.61628670934056,-0.0029112369005165,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",41,67,3.71357206670431,3.61548503387954,0.000514356822956964,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",29,68,3.36729582998647,3.61519771524149,0.00393995054643047,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",41,69,3.71357206670431,3.61692041732149,-0.00421403470035724,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",43,70,3.76120011569356,3.61609539774192,-0.00237014170240998,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",33,71,3.49650756146648,3.61290023645994,-0.000526248704462739,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",35,72,3.55534806148941,3.60872386383362,-0.00141213154575832,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",35,73,3.55534806148941,3.60313535966155,-0.00229801438705391,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",46,74,3.8286413964891,3.59357525316056,-0.0132254248794938,"83-100","11-82","1-10"
"mf_rep.merged1_all_sed","Molecular formulae","rep.merged1","all","sed",48,75,3.87120101090789,3.5750234524954,0.00124954891995758,"83-100","11-82","1-10"
