"Mass","Mean","Median","SD","SED_Mean","SED_Median","SED_SD","SW_Mean","SW_Median","SW_SD"
297.040465766282,35.12,35,5.24,28.83,30,3.83,36.58,36,4.39
297.066356628397,1.25,1,0.45,1.25,1,0.45,NA,NA,NA
297.074873781532,2.25,2,1.28,2.43,2,1.27,1,1,NA
297.077021646552,1.67,1,1.15,3,3,NA,1,1,0
297.080438209583,2,2,1.41,2,2,1.41,NA,NA,NA
297.147515299113,1.75,1.5,0.97,1.75,1.5,0.97,NA,NA,NA
297.158518424669,2,2,0.61,2.04,2,0.6,1.5,1.5,0.71
297.18605806254,4.02,4,1.46,4.02,4,1.46,NA,NA,NA
297.952309218534,1.62,2,0.57,1.62,2,0.57,NA,NA,NA
298.035712090082,24.06,26,8.3,7.33,7,1.53,27.4,27,3.38
298.065215639883,1.5,1.5,0.71,1,1,NA,2,2,NA
298.093267074449,55.46,56,16.33,39.71,37,9.71,65.9,68,10.32
298.093478427819,3.67,4,1.53,3.5,3.5,2.12,4,4,NA
298.106521818539,7,7,NA,7,7,NA,NA,NA,NA
298.166033973118,34.19,35,5.81,34.89,36,5.27,24,25,3.61
298.811550907689,1,1,0,1,1,0,1,1,0
299.019754627196,41.9,44,8.35,32.71,32,6.09,46.5,47,4.74
299.056130023771,64.39,67,10.95,52.53,54.5,8.55,69.3,69,7.55
299.056310059205,3.8,3,2.17,5,5,2.83,3,2,1.73
299.092499139126,52.37,54,8.8,39.91,40,7.67,56,55,4.95
299.108274203996,3.25,3,1.26,3.25,3,1.26,NA,NA,NA
299.132468230125,1.5,1.5,0.71,1.5,1.5,0.71,NA,NA,NA
299.140730323796,1,1,NA,1,1,NA,NA,NA,NA
299.157282573933,6.17,7,2.58,7.02,7.5,2.11,2.77,3,0.93
300.072500043717,58.58,61,11.52,46.26,46,9.13,62.12,64,9.55
300.10910893636,3,2,1.83,3,2,1.83,NA,NA,NA
300.1171778594,2.5,2.5,0.71,2.5,2.5,0.71,NA,NA,NA
300.153578555256,2.57,2,1.27,2.5,2.5,0.58,2.67,2,2.08
300.951972016258,1.93,2,1.07,1.93,2,1.07,NA,NA,NA
301.03458441506,1.98,2,0.97,1.98,2,0.97,NA,NA,NA
301.035390301876,65.05,69,12.01,51.77,52,8.39,70.88,73,8.09
301.102667999858,16.99,17.5,3.13,13.75,13,3.08,18.07,18,2.3
301.108182898627,42.11,42,4.04,36.25,36.5,3.25,42.9,43,3.45
301.144563834131,38.79,40,7.52,32.46,32,5.84,43.52,43,4.59
301.144752362312,3,3,1.41,3.8,4,0.84,1.67,1,1.15
302.132857254615,3,3,1.83,3,3,1.83,NA,NA,NA
303.080341074048,1,1,0,1,1,0,NA,NA,NA
303.087616034446,3,2.5,2.16,3,2,2.65,3,3,NA
303.090789259469,36.98,33.5,14.24,33.36,33,11.05,37.55,34,14.67
303.123824913066,61.87,63,7.24,54.42,56,5.67,64.33,64,5.91
304.046287696777,47.31,51,11.94,29.77,30,7.41,50.02,51.5,10.07
304.063243231904,1.67,2,0.7,1.67,2,0.7,NA,NA,NA
304.104017682818,3.5,3.5,2.43,3.5,3.5,2.38,3.5,3.5,3.54
305.019624472335,3.74,4,1.45,3.74,4,1.45,NA,NA,NA
305.047263083591,1.1,1,0.38,1.1,1,0.38,NA,NA,NA
305.051656986613,6.25,7,1.5,7,7,NA,6,7,1.73
305.070061269669,32.05,27,15.6,20.7,18,7.77,40.01,40,14.78
305.070263735775,2.2,2,1.64,2.2,2,1.64,NA,NA,NA
305.088004077141,3.14,3,0.9,3.33,3.5,0.82,2,2,NA
305.106456276185,21.17,19,10.96,21.67,22,8.26,21.11,19,11.33
305.187683882975,1.5,1.5,0.71,1.5,1.5,0.71,NA,NA,NA
306.111634067038,2.25,2.5,0.96,2.25,2.5,0.96,NA,NA,NA
307.016694896057,1.56,1,0.73,1.56,1,0.73,NA,NA,NA
307.028448769664,1,1,0,1,1,NA,1,1,NA
307.061222162037,25.67,27,8.75,17.33,13,9.29,29.83,29,5.04
307.085722676577,24.57,24,10.57,17.56,15.5,7.57,27.26,27,10.38
307.093799336061,1.79,1.5,0.97,1.82,1,1.08,1.67,2,0.58
307.122111492868,17.79,18,5.82,16.36,16.5,4.48,19.13,20,6.72
307.122356383541,2,2,NA,2,2,NA,NA,NA,NA
308.041230252626,61.23,69,16,35.52,36,9.58,67.65,71,9.48
308.077597325502,60.75,63,17.13,43.66,44,12.11,66.57,72,14.52
308.113954456745,59.19,59,10.65,54.11,55,8.39,60.31,60.5,10.81
309.025442062195,3.5,3.5,0.71,3.5,3.5,0.71,NA,NA,NA
309.040511754371,26.67,27,3.94,22.17,22,3.06,28.47,27,2.59
309.109483874924,2,2,1.15,2,2,1.15,NA,NA,NA
309.119141274061,30.17,31,4.68,30.84,32,4.32,28.1,30,5.38
309.137700295887,7.78,7,5.42,6,6,3.79,11.82,12,6.52
309.14588924297,2.25,2.5,0.96,2.25,2.5,0.96,NA,NA,NA
310.056841109154,52.48,57.5,15.57,32.44,32.5,9.64,59.6,64,10.08
310.070137299361,4,4,2,4,4,NA,4,4,2.83
310.093220645364,61.83,63.5,13.67,49.7,51.5,10.22,65.88,67.5,12.24
310.10444186349,17.43,17,5.69,15.5,15.5,3.54,17.75,17,6.03
310.151007450408,4,4,3,4,4,3,NA,NA,NA
310.165973815668,31.47,33,5.11,31.71,34,5.21,28,28,NA
310.824524619942,1,1,0,1,1,0,NA,NA,NA
310.946939404618,3,3,2.83,3,3,2.83,NA,NA,NA
311.019751613174,37.38,39,8.5,30.19,31,8.24,42.26,43,4.1
311.056133073638,53.87,54,6.86,44,44,6.57,55.96,55,4.82
311.05946756838,23.06,21.5,10.46,11.6,7,10.78,25.19,23,9.09
311.059659943347,1,1,0,1,1,NA,1,1,NA
311.092505426338,41.44,43,7.79,29.33,29.5,9.11,43.09,44,6.01
311.105742033214,1.75,1,1.04,2,2,1.15,1.5,1,1
311.128938938911,16,17,3.92,11,10.5,2.16,18.22,18,1.79
311.162309374456,1.17,1,0.48,1.4,1,0.89,1.11,1,0.32
312.07251025775,59.81,63.5,17.31,39.78,40,11.08,67.09,71.5,12.84
312.190011716323,1,1,0,1,1,0,NA,NA,NA
313.035390898496,43.17,45,8.1,34.06,35,6.25,47.43,48,4.58
313.038754886851,45.42,45.5,13.1,34.75,35.5,17.17,46.35,46,12.49
313.071764037994,41.92,42,6.43,34.88,36,4.81,43.98,43.5,5.3
313.144580146603,23.5,24,4.06,18.57,19,2.88,25.8,26,1.82
313.181236628813,1,1,0,1,1,0,NA,NA,NA
313.194269334182,1.5,1.5,0.71,1.5,1.5,0.71,NA,NA,NA
314.088177100582,62.1,65.5,15.88,45.27,45,11.4,69.42,72,11.33
314.774977173432,1,1,NA,1,1,NA,NA,NA,NA
315.014682351804,49.68,52,11.57,39.2,40.5,8.04,56.67,57,7.61
315.018032832081,17.33,12,15.53,5.1,3,5.17,32.19,34,9.81
315.054410569226,47.28,46,15.49,35.6,30.5,12.55,49.16,49,15.17
315.087399359752,34.99,36,7.3,26.95,28,4.9,38.29,39,5.27
315.119801302298,32.78,33,6.47,32.17,32.5,6.88,34,34,5.48
315.121902372118,3.5,3.5,0.71,3.5,3.5,0.71,NA,NA,NA
315.123805165676,64.12,66,8.3,54.04,54,7.76,67,67,5.85
315.135399575961,1,1,0,1,1,0,NA,NA,NA
315.160206517629,43.81,45,6.2,38.78,39,6.19,46.16,46,4.64
315.160401941965,3.6,4,1.52,3.67,4,1.53,3.5,3.5,2.12
316.017199549274,1,1,NA,1,1,NA,NA,NA,NA
316.044826538816,1.08,1,0.28,1.17,1,0.41,1,1,0
316.045469961152,2.46,2,0.71,2.46,2,0.71,NA,NA,NA
316.772045385041,1,1,0,1,1,0,NA,NA,NA
317.097530014715,36.89,36,7.6,31.98,32,5,39.21,39,7.54
317.106397742202,14.77,13,7.95,10,7,6.08,15.09,14,8.01
317.210705179616,1,1,NA,1,1,NA,NA,NA,NA
318.127785054414,2.67,2,1.51,3.67,4,1.53,1.67,2,0.58
319.064483876087,1.92,2,1.05,1.54,1,0.74,3,3,1.05
319.067095340402,46.62,47,7.64,37.67,38,4.96,50.2,51,5.19
319.122050081376,15.97,14.5,6.68,12.17,12,6.01,16.85,14.5,6.63
319.130484967626,1.56,2,0.53,1.56,2,0.53,NA,NA,NA
319.228069089366,2.64,2.5,0.93,2.82,3,0.87,2,2,1
320.058179356398,1.16,1,0.37,1.16,1,0.37,NA,NA,NA
320.152948843382,9.62,9,1.66,9.62,9,1.66,NA,NA,NA
321.014557349689,3.33,3,1.22,3.33,3,1.22,NA,NA,NA
321.038284365712,40.34,43.5,8.89,27.35,26,7.23,43.28,44,6.19
321.101388745764,9.42,9,3.3,9.71,10,1.8,9.37,9,3.48
321.243923204301,1,1,NA,1,1,NA,NA,NA,NA
322.056890287752,62.58,69,15.6,38,39.5,8.5,67.81,72,11.1
323.004487902009,57.96,62,12.64,43.71,43,7.3,65.17,67,7.63
323.008702880682,1,1,0,1,1,0,NA,NA,NA
323.03019690935,2.65,2,1.42,2.65,2,1.42,NA,NA,NA
323.095841347816,20.22,23.5,10.57,5.75,6,3.77,24.36,27.5,7.74
323.105594239944,39.26,40,5.94,28.5,29.5,8.35,40.65,41,3.95
323.134733132797,20.8,21,2.51,20.92,21,2.56,20,20,2.83
323.223019852789,2.5,2,1,2.5,2,1,NA,NA,NA
324.036149801192,55.13,60,12.54,28.18,29,9.57,58.7,61,7.54
324.072502725486,62.44,68,16.25,42.32,42,9.73,69.8,75,11.11
324.093896385839,2,2,1.41,3,3,NA,1,1,NA
324.130293543718,3,2,1.73,2,2,0,5,5,NA
324.231319274013,2,2,NA,2,2,NA,NA,NA,NA
325.035407534385,40.84,42,5.29,34.35,35,6.4,42.56,42.5,3.28
325.075132609168,38.79,39,9.77,36.5,36.5,6.36,38.94,39,10
325.177343162942,1.09,1,0.29,1,1,0,1.17,1,0.39
325.190895008581,1.97,2,0.84,2.2,2,0.77,1.69,1,0.87
327.014679779755,39.21,41,8.38,30.97,32,7.28,43.88,44,4.45
327.085398641053,3,3,2.08,3.36,3,2.16,1.67,1,1.15
327.087437153792,57.57,61,12.03,43.41,43,9.26,63.88,65,6.45
328.116760581576,11.11,9,3.14,11.11,9,3.14,NA,NA,NA
328.18405604004,2,2,1.41,2,2,1.41,NA,NA,NA
328.205133279646,2.5,2.5,0.71,2.5,2.5,0.71,NA,NA,NA
329.012643077141,4.8,4,3.27,1,1,NA,5.75,4.5,2.87
329.066731940488,30.77,32.5,5.47,24.76,25,3.19,34.03,34,3.21
329.070057268831,41.32,39,15.71,31.38,30.5,12.15,42.44,43,15.74
329.097559312695,34.9,35,5.27,28.5,28.5,2.12,35.12,35,5.21
329.135420209899,30.27,29.5,5.35,30.46,30,5.5,27.67,27,1.15
329.138573578889,1,1,0,1,1,0,1,1,0
330.083115536283,29.76,31,7,21.28,23,5.34,32.41,33.5,5.09
331.049337207061,37.51,40,14.7,28.4,27,10.31,38.24,41,14.81
331.085702901707,36.51,34.5,13.55,31,29,11.02,37.03,35,13.72
331.13552123914,1.09,1,0.3,1.1,1,0.32,1,1,NA
332.041240807335,41.98,47,11.82,23.76,22,7.77,47.67,48.5,5.25
332.163437357919,36.2,37,2.17,36.2,37,2.17,NA,NA,NA
332.179812884226,2.25,2,1.26,2.25,2,1.26,NA,NA,NA
332.876732548668,1.04,1,0.2,1.05,1,0.23,1,1,0
333.042715646542,1,1,NA,1,1,NA,NA,NA,NA
333.065022541952,6.23,5.5,2.94,5.33,5,1.53,6.27,6,2.99
333.101348763543,30.66,27.5,11.82,30.4,28,8.26,30.69,27,12.27
333.101621945994,1,1,0,1,1,NA,1,1,NA
333.126237679337,3.1,3,0.32,3.1,3,0.32,NA,NA,NA
333.13717890764,2,2,NA,2,2,NA,NA,NA,NA
334.056881240961,55.63,64,18.6,31.57,30,10.19,64.78,69,11.52
334.093276944312,42.09,45,8.56,28.37,33,8.56,44.86,46,5.27
334.13214120353,4.33,4,0.52,4.33,4,0.52,NA,NA,NA
335.080629899087,35.67,35,12.44,25.67,20,11.59,36.14,36,12.37
335.116926321652,6.24,5,2.86,3.5,3.5,1.29,6.56,6,2.83
335.153333155858,5.43,4.5,2.24,4.14,4,1.07,6.71,7,2.43
336.108914353305,60.96,64,11.8,45.6,46,10.65,64.23,66,9.2
336.145351731577,3.77,4,1.24,2.95,3,0.69,4,4,1.26
336.231094771253,15.26,18,5.55,18.43,19,2.76,9.17,8.5,4.28
336.87266869338,1.45,1,0.54,1.57,2,0.55,1.14,1,0.36
337.024737922469,1,1,0,1,1,0,NA,NA,NA
337.045867354531,1.19,1,0.45,1.19,1,0.45,NA,NA,NA
337.068998558165,3,3,NA,3,3,NA,NA,NA,NA
337.096241647596,15.41,14,8.56,10.1,9,4.54,19.88,19,8.64
337.132610219162,5.53,4,3.85,4.29,4,2.46,8,6,4.95
338.088179786175,70.03,76,13.6,51.81,54,8.39,75.07,78,9.96
338.088416217165,6,6,NA,6,6,NA,NA,NA,NA
338.160968980282,23.14,24,4.94,26.09,27,2.66,22.31,22,5.14
338.181592158616,1,1,NA,1,1,NA,NA,NA,NA
338.24696640809,1,1,0,1,1,0,NA,NA,NA
339.042863838574,2.1,2,0.31,2.1,2,0.31,NA,NA,NA
339.090731568911,13.77,13,5.51,7,8,3.61,14.84,16,5.01
339.10058648873,8.94,8,2.31,6.2,7,1.69,9.25,9,2.17
339.136958245418,7.1,7,2.41,5.62,5,2.26,7.93,7,2.09
339.173501884301,2.5,2,1.22,2,2,0,2.75,3,1.5
339.191099250967,8.28,9,2.67,8.97,9,1.61,1.67,1,1.15
340.067479238147,20.44,23,7.8,8.62,8,3.59,24.16,24,4.2
340.075759014122,2,2,1.41,2,2,1.41,NA,NA,NA
340.103814711734,62.14,64,15.1,47.5,47.5,11.97,67.18,73,12.6
340.140196423502,56.09,57,8.81,53.74,56,9.83,57.22,57,8.09
340.153298015646,23.5,23.5,2.45,23.5,23.5,2.45,NA,NA,NA
340.212394994943,2,2,NA,2,2,NA,NA,NA,NA
340.243821744449,6.76,7,2.89,8.3,8,1.69,3.33,3,1.8
341.030289741216,32.64,33,7.05,26.24,26,5.46,35.6,36,5.6
341.0667302989,36.39,38,4.91,28.2,28,3.22,38.32,38,2.78
341.070021473518,18.09,17,8.55,9.6,7,9.76,18.7,17,8.2
341.150504634697,1,1,NA,1,1,NA,NA,NA,NA
341.888646633393,1.04,1,0.2,1.07,1,0.25,1,1,0
342.083076795045,60.62,64,14.25,44.72,48,10.99,64.99,68,11.73
342.096505995542,1,1,NA,1,1,NA,NA,NA,NA
342.228059164093,1,1,NA,1,1,NA,NA,NA,NA
342.709720644404,1,1,0,1,1,0,NA,NA,NA
342.733534741012,1.09,1,0.3,1.09,1,0.3,NA,NA,NA
343.009614783213,24.11,25,4.68,19.49,19,3.2,26.65,27,3.18
343.057695711329,1,1,NA,1,1,NA,NA,NA,NA
343.118742218979,47.64,49,8.85,36,36,5.26,50.95,51,6.57
343.152483429937,4,4,NA,4,4,NA,NA,NA,NA
343.155138644177,34.69,35,4.91,29.69,30.5,4.65,36.1,36,3.99
343.227894237341,18.93,20,4.15,18.93,20,4.15,NA,NA,NA
344.730580653363,1,1,0,1,1,0,NA,NA,NA
345.101339874439,22.08,18.5,13.35,21.42,20,8.93,22.17,18,13.87
345.101550273271,2,2,1,3,3,NA,1.5,1.5,0.71
345.220505135528,1.33,1,0.58,1.33,1,0.58,NA,NA,NA
346.093231797509,58.93,60,10.82,44,45.5,10.34,60.24,61,9.88
346.97468498535,2.19,2,0.64,2.19,2,0.64,NA,NA,NA
346.993854261606,8.25,8.5,1.71,8.25,8.5,1.71,NA,NA,NA
347.071722084267,18.29,18,5.39,14.29,15,4.54,18.63,18,5.35
347.153277600785,6.17,5.5,2.86,3,3,1,7.22,7,2.44
348.072561110494,28.41,32,9.16,14.31,16,5.89,32.81,34,4.2
348.121454162038,16,16,NA,16,16,NA,NA,NA,NA
348.184501182529,1,1,NA,1,1,NA,NA,NA,NA
349.045798241788,3.5,4,1.9,3.5,4,1.9,NA,NA,NA
349.056469267904,27.01,27,6.95,20.16,20,4.78,31.18,32,4.22
349.089989651092,1.22,1,0.44,1.22,1,0.44,NA,NA,NA
349.113589264073,1.78,2,0.67,1.57,2,0.53,2.5,2.5,0.71
349.150683441954,4.83,4,4.62,4.6,2,5.13,6,6,NA
349.169015426531,16.08,16,5.2,17.79,18,3.31,13.25,12.5,6.48
349.241818966173,9.48,9.5,1.42,9.55,10,1.4,8.75,8.5,1.71
350.051835689778,17.11,20,7.47,5.91,5,3.73,21.13,21,3.06
350.062410843994,1.26,1,0.5,1.26,1,0.5,NA,NA,NA
350.088184446842,70.47,78.5,18.77,44.38,43,13.7,79.9,83,8.7
350.12459239384,25.36,26,7.44,14.61,14,4,28.02,28,5.41
350.291230470624,2,2,0.59,2.04,2,0.58,1.5,1.5,0.71
351.061488575647,1.58,1,0.7,1.58,1,0.7,NA,NA,NA
351.100814691166,2.33,2,0.58,2.33,2,0.58,NA,NA,NA
351.129227518041,2,2,NA,2,2,NA,NA,NA,NA
351.201863253681,1,1,NA,1,1,NA,NA,NA,NA
351.997328540764,1,1,0,1,1,0,1,1,0
352.067472122285,27.84,32,11.14,12.37,11,5.25,33.6,35,6.11
352.103820592537,59.6,64,15.41,43.72,43,10.75,66.13,70,11.89
352.104067420404,3.2,3,1.3,3.2,3,1.3,NA,NA,NA
352.107632127409,1.5,1.5,0.71,1.5,1.5,0.71,NA,NA,NA
352.14267725415,1.42,1,0.67,1.42,1,0.67,NA,NA,NA
352.160950786634,1.67,2,0.58,2,2,0,1,1,NA
352.907024055586,2,2,NA,2,2,NA,NA,NA,NA
353.01506957362,61.26,65,10.84,49.22,50,8.2,67.07,69,6.16
353.030333822704,34.9,36,6.13,29.42,29.5,5.88,37.95,38,3.66
353.058588306451,1.59,1,0.74,1.59,1,0.74,NA,NA,NA
353.058768347269,3,3,NA,3,3,NA,NA,NA,NA
353.066742958631,15.87,17,3.98,10.57,12,2.82,18.12,18,1.41
353.070004752157,13.32,14,6.9,4.9,3.5,3.67,16.83,17,4.39
353.106357075691,8.4,9.5,5.3,2.71,3,1.11,11.46,13,3.84
353.116205736878,18.62,19,5.96,11.23,11,3.61,21.49,21,3.83
353.127536190799,13.15,11,7.67,9.53,11,4.56,24,25,3.16
353.181703971426,19.5,18,3.3,19.5,18,3.3,NA,NA,NA
353.221748522544,1,1,0,1,1,0,NA,NA,NA
353.224384381662,2.04,2,0.37,2.04,2,0.37,NA,NA,NA
354.083070365947,67.23,72,15.58,49,52,11.1,73.04,77.5,11.89
354.119489323637,57.5,60,12.9,44.95,45.5,10.69,62.78,64,9.73
354.119761130742,6.5,6,4.12,4.67,6,2.31,12,12,NA
354.140112645077,1,1,NA,1,1,NA,NA,NA,NA
354.168364410724,7,7,NA,7,7,NA,NA,NA,NA
355.009606253313,27.01,28,6.59,21.41,22.5,5.58,31.37,31,3.07
355.045955914298,42.46,45,9.5,33.21,34,8.26,46.66,48,6.63
355.08241707106,6.88,7,1.56,4.57,4,1.81,7.07,7,1.39
355.085646657069,13.27,13,6.55,10,8,8.19,13.42,13,6.5
355.118736827551,51.7,51,4.58,43.5,43.5,0.71,51.89,51,4.45
355.170902625641,1.57,1,0.79,1.57,1,0.79,NA,NA,NA
355.223851951722,14.69,15,1.91,14.6,15,1.89,17,17,NA
356.075609372446,3,3,2,3,3,2,NA,NA,NA
356.098769340618,30.51,32,7.06,22.44,22,4.61,32.83,35,5.83
356.146873382513,1,1,NA,1,1,NA,NA,NA,NA
357.097566300439,1,1,0,1,1,0,NA,NA,NA
357.097976111424,53.28,55,8.37,43.46,45,4.93,56.17,56,6.84
357.101247928314,10.04,9.5,4.86,5,2,5.14,10.45,10,4.64
357.131662730219,6,6,NA,6,6,NA,NA,NA,NA
357.134414026401,34.95,35,3.62,29.7,29.5,3.3,35.51,35,3.19
357.138887607222,1.25,1,0.62,1.27,1,0.65,1,1,NA
357.139124495879,2,2,NA,2,2,NA,NA,NA,NA
357.170735528714,26.55,26,3.17,27,27,NA,26.54,26,3.2
358.077999000866,56.3,59,9.69,39.25,38,7.25,57.91,60,8.25
358.09327339177,47.64,52,11.31,24.36,25,12.62,51.67,52,3.64
358.1619805476,26.24,26.5,5.43,26.24,26.5,5.43,NA,NA,NA
359.002026825221,1,1,NA,1,1,NA,NA,NA,NA
359.053961569254,37.11,40,7.15,24.94,24,5.71,39.36,40.5,4.71
359.066533305756,4.15,4,1.28,4.15,4,1.28,NA,NA,NA
359.08062072287,39.98,39,16.78,39.5,39,17.46,40,39,16.85
359.108152455044,15.13,16,4.04,12.31,12,2.43,15.53,16,4.07
359.193831413606,3,3,1,3,3,1,NA,NA,NA
360.024793278887,2.5,2,0.99,2.5,2,0.99,NA,NA,NA
360.093185867484,3,3,NA,3,3,NA,NA,NA,NA
360.10891904076,51.57,54,6.07,36.67,33,10.97,52.05,54,5.28
360.194192299629,4,4,NA,4,4,NA,NA,NA,NA
360.202274947892,1,1,NA,1,1,NA,NA,NA,NA
360.890561733183,1.4,1,0.55,1.5,1.5,0.58,1,1,NA
361.038760272321,21.33,19,9.96,9,9,2.83,24.86,24,8.11
361.077170563092,1,1,NA,1,1,NA,NA,NA,NA
361.087361940983,31.05,31,7.27,26.3,28,5.91,31.56,32,7.24
361.096270757706,35.98,36,15.98,33,32.5,10.65,36.24,36,16.39
361.132555956316,5.41,5,2.86,2.14,1,1.46,5.95,5,2.68
361.196789644846,1.75,1.5,0.89,1.86,2,0.9,1,1,NA
361.207961445466,2,2,0.82,1.67,2,0.58,3,3,NA
362.052068826213,3,3,1.31,2.6,2,1.52,3.67,4,0.58
362.988771901776,7.5,7.5,2.12,7.5,7.5,2.12,NA,NA,NA
363.006007343511,1.27,1,0.56,1.27,1,0.56,NA,NA,NA
363.081320983777,1.27,1,0.59,1.27,1,0.59,NA,NA,NA
363.136954724799,13.62,15,3.61,8,8,0.71,15.11,15,2.33
363.137244351809,1.5,1.5,0.71,1,1,NA,2,2,NA
363.148372759327,3.5,3,2.66,1,1,0,4.75,4,2.36
363.166485213659,1,1,NA,1,1,NA,NA,NA,NA
364.067404658943,55.53,60,18.38,32.6,33,11.13,64.06,68,12.18
364.067630516422,2.67,2,2.08,2.67,2,2.08,NA,NA,NA
364.104072013517,4,4,1.41,4,4,1.41,NA,NA,NA
364.140170741171,64.87,65,11.13,55.57,58,10.65,67.15,68,10.05
364.188930158127,3,3,NA,3,3,NA,NA,NA,NA
364.234384392159,2.7,2.5,1.77,2.7,2.5,1.77,NA,NA,NA
365.05596259592,1.65,1.5,0.74,1.65,1.5,0.74,NA,NA,NA
365.063846745454,1,1,NA,1,1,NA,NA,NA,NA
365.069943644185,11,11,3.52,6.5,6.5,3.54,12,12,2.78
365.116141888114,35.24,35,3.88,33.82,33,3.03,35.45,35,3.96
365.127017491351,1,1,NA,1,1,NA,NA,NA,NA
366.119462885865,66.54,69,13.71,51.13,51.5,10.15,71.41,73,10.79
367.045976465857,39.09,39,4.38,35.18,35,4.53,40.09,40,3.78
367.095417495334,47.58,49,5.84,39.15,38,3.34,48.75,49,5.1
367.118717934243,41.45,40,3.98,38,38,NA,41.8,41.5,4.02
367.12206231265,32.77,38,10.64,16.33,20,6.35,37.7,39,4.99
367.129329625433,4,4,2.11,4,4,2.11,NA,NA,NA
367.131858756788,19.48,20,5.99,13.15,13,4.05,22.57,22,4.03
367.142631893209,2,2,NA,2,2,NA,NA,NA,NA
367.17954366582,4.72,4,2.21,4.27,4,1.64,8,10,3.46
367.191443204767,5.27,5,2.05,5.27,5,2.05,NA,NA,NA
367.204977794675,1,1,0,1,1,0,NA,NA,NA
367.964421434361,1.6,2,0.55,2,2,0,1,1,0
368.061877990329,2,2,NA,2,2,NA,NA,NA,NA
368.062395055539,21.11,24,7.97,9.03,8.5,4.25,25.09,25,3.78
368.075679401725,1.5,1.5,0.71,1.5,1.5,0.71,NA,NA,NA
368.098709747909,80.09,83,17.67,60.95,60,12.06,88.03,92,12.9
368.106300607942,2,2,NA,2,2,NA,NA,NA,NA
368.120095314762,3.56,3,2.55,4.14,5,2.61,1.5,1.5,0.71
368.135393002075,2.5,2.5,2.12,2.5,2.5,2.12,NA,NA,NA
368.179801673039,2.43,2,1.72,3.67,3,2.08,1.5,1.5,0.58
368.191902870956,1,1,NA,1,1,NA,NA,NA,NA
369.025211855172,24.63,26,6.63,18.48,18,4.64,28,28,4.9
369.064849386814,9.72,10,3.49,6.5,6.5,4.95,9.85,10,3.43
369.074698295649,31,33,5.53,21.29,20,4.65,32.77,33,3.45
369.101212653583,8.63,8,3.1,5,5,2.83,8.82,8,3.03
369.185662303228,1,1,NA,1,1,NA,NA,NA,NA
370.077969206581,57.87,63.5,14.85,36.77,37.5,8.98,63.7,67.5,10.09
370.159080652788,4.8,5,2.28,4.8,5,2.28,NA,NA,NA
370.161951852704,14.32,14,2.83,14.28,14,2.86,16,16,NA
370.230951267305,2,2,NA,2,2,NA,NA,NA,NA
371.08050425562,10.26,10,4.22,5.5,4.5,4.8,10.5,10,4.08
371.113655781142,51.27,53,7.63,40.48,42,5.75,54.11,55,5.12
371.129722231579,2,2,NA,2,2,NA,NA,NA,NA
371.178795277272,2,2,1,2,2,1,NA,NA,NA
371.186150994775,1.5,1.5,0.55,1,1,NA,1.6,2,0.55
372.057227705324,41.07,43,6.65,21.67,18,6.35,41.82,43,5.45
372.124681492519,1.33,1,0.58,1.33,1,0.58,NA,NA,NA
372.140662695583,2,2,NA,2,2,NA,NA,NA,NA
372.14119916865,7.54,8,2.37,7.79,8,2.2,5.33,5.5,2.94
373.000128901478,1,1,0,1,1,0,1,1,0
373.096234556459,20.83,18.5,11.75,20,18,14.11,20.86,19,11.76
373.123783155855,21.61,22,5.64,21.36,22,2.08,21.67,23,6.19
373.147733066656,1.15,1,0.55,1.15,1,0.55,NA,NA,NA
373.160456614203,1.87,2,1.13,1.57,1,0.79,2.12,2,1.36
373.201419455375,3,3,NA,3,3,NA,NA,NA,NA
373.202049543082,30.63,31,4,31.68,32,3.22,29.09,28,4.58
373.202292858553,4,4,1.51,4.5,4,1.73,3.5,3.5,1.29
374.055146349388,37.78,40,9.23,17,17,NA,40.38,41,5.29
374.109546907461,4,4,0.82,4.5,4.5,0.71,3.5,3.5,0.71
374.22160947194,3.9,3.5,1.45,4.5,4.5,0.58,3.5,3,1.76
374.963569292792,1.86,2,0.83,1.86,2,0.83,NA,NA,NA
375.039256431449,1.9,2,1.1,1,1,NA,1.92,2,1.1
375.061463739728,2.5,2.5,1.29,2.5,2.5,1.29,NA,NA,NA
375.103005717316,34.81,35,8.26,29.07,29,7.32,35.72,36,8.06
375.230992334971,4.4,5,2.41,4.75,5.5,2.63,3,3,NA
375.303418575796,2.5,2.5,1.27,2.67,3,1.22,1,1,NA
375.304438408606,1.27,1,0.55,1.27,1,0.56,1.25,1,0.5
376.111916347086,6.07,6,1.12,2,2,1.41,6.16,6,0.94
376.252658130561,1.38,1,0.67,1.38,1,0.67,NA,NA,NA
376.98524354425,1.73,2,0.79,1.73,2,0.79,NA,NA,NA
377.106234407108,6.22,6,2.82,1,1,NA,6.88,7,2.17
377.154471587932,2.5,2.5,0.58,2.5,2.5,0.58,NA,NA,NA
378.083107327026,54.99,61,14.31,33.66,35,8.35,61.57,63,7.86
378.090764537841,2,2,NA,2,2,NA,NA,NA,NA
378.131852734918,1,1,0,1,1,NA,1,1,NA
378.192205927248,48.08,48,3.42,47.64,48,3.2,53,53,NA
378.322549358997,1.05,1,0.22,1.05,1,0.23,1,1,NA
379.049134612777,5.38,5.5,2.26,3,3,2.83,5.58,6,2.17
