"Mass","Mean","Median","SD","SED_Mean","SED_Median","SED_SD","SW_Mean","SW_Median","SW_SD"
221.045519148712,45.39,45,8.83,41.19,42,6.11,48.78,50,9.24
221.05858606463,25.89,26,2.95,26.15,26,2.06,25.25,24.5,4.49
221.066625489537,8.29,8,1.9,7.95,8,1.58,11.5,11.5,2.12
221.081891220993,24.3,24,6.41,20.85,22,4.73,27.68,28,6.04
221.093149270158,12.9,13,2.7,12.9,13,2.7,NA,NA,NA
221.118286459105,34.34,34,3.5,34,34,3.88,34.59,34,3.21
221.150212886269,2,2,0.29,2,2,0.29,NA,NA,NA
221.15467759026,13.41,14,4.53,16.49,17,3.17,10,10,3.17
222.09020962229,4.74,4,3.11,6.9,7,2.42,2.31,2,1.67
222.950238026828,1.47,1,0.59,1.62,2,0.61,1.27,1,0.51
222.959073413494,1.59,1,0.7,1.84,2,0.69,1.44,1,0.67
223.024793149015,50.61,49,15.37,39.61,40.5,10.36,60.21,63,12.29
223.037850234494,22.25,22,3.85,21.29,21,3.26,27.67,27,2.08
223.055624999314,8.9,9,3.19,7.88,8,2.52,13.25,13.5,1.71
223.061152325181,23.67,24,5.65,21.45,22,4.09,25.58,26,6.12
223.064543095163,14.92,12,9.16,11.74,11,4.88,24.44,27,12.39
223.074229068466,23.55,24,4.39,24.69,25,4.02,20.32,19,3.81
223.097560476044,48.91,49.5,5.91,47.25,49,6.6,50.62,51,4.54
223.133954616791,46.4,47,5.58,48.21,49,5,42.44,43,4.67
224.056423283216,31.99,30,10.38,27.15,27,7.25,36.69,34.5,10.84
224.087267060683,1.96,2,1.13,2,2,1.14,1.62,1,1.06
224.913896382187,1,1,0,1,1,0,NA,NA,NA
224.947309353375,1.37,1,0.52,1.41,1,0.55,1.26,1,0.44
225.004032134366,14.73,15,4.28,11.69,12,3.36,16.79,17,3.55
225.040449425761,72.51,73,19.02,59.88,61,15.54,83.68,89,14.26
225.055714870951,15.27,15,7.67,14.08,15,5.6,38.25,38.5,5.85
225.071293913514,8.94,8,2.39,8.76,8,2.33,12,12,1
225.076819499069,59.12,61,8.49,58.3,61,9.07,59.92,61,7.85
225.113187324246,23.42,24,4.05,24.25,25,3.97,22.52,23,3.96
225.149604088393,41.25,43,5.94,42.8,43.5,4.59,34.11,34,6.33
226.108449634862,39.35,40,3.37,39.38,40,3.69,39.29,39,2.75
226.971301085661,2.1,2,1.24,2.27,2,1.25,1,1,0
227.056078968671,42.74,44,7.05,42.07,43,6.17,43.35,44,7.74
