"MolForm","cs.flag.emergent_overlap","Mass","Mean","Median","SD","SED_Mean","SED_Median","SED_SD","SW_Mean","SW_Median","SW_SD","info"
"C16H19O17S2P",NA,"576.972811",1.5,1.5,0.577350269189626,1.5,1.5,0.577350269189626,NA,NA,NA,FALSE
"C16H19O5N",NA,"304.119049",63.2083333333333,63.5,6.506815848191,NA,NA,NA,63.2083333333333,63.5,6.506815848191,FALSE
"C16H19O6NS",NA,"352.086013",14,14,0,NA,NA,NA,14,14,0,FALSE
"C16H19O7S2P",NA,"417.023731",1,1,NA,NA,NA,NA,1,1,NA,FALSE
"C16H20O6N2","Sed Sat - Water Inbetween","335.124927",14.7058823529412,15,4.20140032678182,7,7,NA,14.86,15,4.09584159451351,FALSE
"C16H20O9S","Sed Sat - Water Core","Double",11.3448275862069,11,4.18698866702966,14,14,0,11.3139534883721,10.5,4.20157289289164,NA
"C16H20O9S","Sed Sat - Water Core","387.075423",10.3448275862069,10,4.18698866702966,13,13,NA,10.3139534883721,9.5,4.20157289289164,FALSE
"C16H21O16P",NA,"499.049448",4,4,NA,NA,NA,NA,4,4,NA,FALSE
"C16H21O4N","Sed Inbetween - Water Sat","290.139811",19.6111111111111,20,6.35852322556605,19.0576923076923,20,5.44640000381062,34,34,14.142135623731,FALSE
"C16H22O11","Sed Inbetween - Water Core","389.108981",37.12,38,4.73870256646509,33.3333333333333,35,4.92201081634229,39.4408602150538,40,2.70049257017162,FALSE
"C16H22O12","Global in-between","405.103722",8.24050632911392,8,2.1674467424529,4.58333333333333,5,1.92865159365215,8.8955223880597,9,1.43689826254868,FALSE
"C16H22O3","Sed Inbetween - Water Sat","261.149632",44.325,45,7.33235716113594,43.4,44,7.9637107968065,47.1,47.5,4.14862761779255,FALSE
"C16H22O3S","Global satellite","293.121713",18.4,20,5.98516684999025,12.75,11.5,5.25198375219624,22.1666666666667,21.5,2.31660671385254,FALSE
"C16H22O5S","Global in-between","325.111525",31.1707317073171,28,11.8425133291552,21.9411764705882,22,6.23969739085252,37.7083333333333,35,10.4527057727181,FALSE
"C16H22O7N4",NA,"381.141611",9,9,NA,9,9,NA,NA,NA,NA,FALSE
"C16H23O15S2P",NA,"549.014779",1,1,NA,NA,NA,NA,1,1,NA,FALSE
"C16H23O17N","Global in-between","500.089538",1.33333333333333,1,0.577350269189626,2,2,NA,1,1,0,FALSE
"C16H23O17SP",NA,"549.032151",1,1,0,NA,NA,NA,1,1,0,FALSE
"C16H24O3S","Sed Core - Water Inbetween","295.137392",4.125,4,1.5673840988685,4.23809523809524,4,0.900054183362924,3.90909090909091,3,2.37053798052778,FALSE
"C16H24O4","Global core","279.160186",57.0462427745665,58,8.47075339782503,62.3186813186813,63,5.94021907729022,51.1951219512195,50,6.87532540085634,FALSE
"C16H24O4S","Sed Inbetween - Water Sat","311.132285",13.4,12,4.41688360266531,12.2615384615385,12,2.53892769612564,18.3333333333333,22,6.96590335303394,FALSE
"C16H25O2S2P",NA,"343.095957",7,7,NA,7,7,NA,NA,NA,NA,FALSE
"C16H25O6N","Sed Inbetween - Water Sat","326.160977",22.6865671641791,23,3.83448845003488,23.2363636363636,24,3.39914823951659,20.1666666666667,20,4.80214598493278,FALSE
