"Mass","MolForm"
"213.1133282","C11H18O4"
"213.1244419","C10H18O3N2"
"213.1245709","C10H18O3N2"
"213.1495806","C12H22O3"
"213.1497064","C12H22O3"
"213.1859557","C13H26O2"
"213.9481457","C5H2O3N3SP"
"213.9637773","C7H5O3NS2"
"213.9639055","C7H5O3NS2"
"214.0080323","C10H5ON3S"
"214.017918","C8H9O4NS"
"214.0332195","C12H9ONS"
"214.0356668","C8H9O6N"
"214.035803","C8H9O6N"
"214.050931","C12H9O3N"
"214.0720739","C9H13O5N"
"214.0873363","C13H13O2N"
"214.1084656","C10H17O4N"
"214.1448275","C11H21O3N"
"214.1449446","C11H21O3N"
"214.965566","C7H4O6S"
"214.9864161","C6H5O5N2P"
"214.988126","C5H4O4N4S"
"215.0019358","C8H8O5S"
"215.002066","C8H8O5S"
"215.0049571","C7H9O2N2SP"
"215.0196827","C8H8O7"
"215.0310603","C7H8O6N2"
"215.0349424","C12H8O4"
"215.0383432","C9H12O4S"
"215.0560786","C9H12O6"
"215.0562145","C9H12O6"
"215.06726","C8H12O5N2"
"215.0673758","C8H12O5N2"
"215.071315","C13H12O3"
"215.0924726","C10H16O5"
"215.1036945","C9H16O4N2"
"215.1288446","C11H20O4"
"215.1400805","C10H20O3N2"
"215.1440804","C15H20O"
"215.1652394","C12H24O3"
"215.9348284","C6H4O2NS2P"
"216.0302045","C11H7O4N"
"216.0335759","C8H11O4NS"
"216.0513193","C8H11O6N"
"216.0666571","C12H11O3N"
"216.0877266","C9H15O5N"
"216.1240952","C10H19O4N"
"216.1354594","C9H19O3N3"
"216.9189426","C6H3O3S2P"
"216.9634691","C7H6O4S2"
"216.9812031","C7H6O6S"
"217.0142179","C11H6O5"
"217.0175559","C8H10O5S"
"217.0353211","C8H10O7"
"217.0354695","C8H10O7"
"217.0423701","C12H11O2P"
"217.0505866","C12H10O4"
"217.0507218","C12H10O4"
"217.0539849","C9H14O4S"
"217.0618563","C11H10O3N2"
"217.0635645","C9H15O4P"
"217.0717431","C9H14O6"
"217.0718577","C9H14O6"
"217.0869518","C13H14O3"
"217.0870944","C13H14O3"
"217.0981633","C12H14O2N2"
"217.0983515","C12H14O2N2"
"217.1081169","C10H18O5"
"217.119461","C9H18O4N2"
"217.1234006","C14H18O2"
"217.1267846","C11H22O2S"
"217.1346697","C13H18ON2"
"217.1444967","C11H22O4"
"217.1598223","C15H22O"
"217.9765058","C6H5O6NS"
"218.0127716","C7H9O5NS"
"218.0459417","C11H9O4N"
"218.0493045","C8H13O4NS"
"218.0782233","C7H13O5N3"
"218.1033705","C9H17O5N"
"218.9604797","C6H4O7S"
"218.9791372","C7H8O4S2"
"218.9968483","C7H8O6S"
"218.9999601","C6H9O3N2SP"
"219.012097","C11H8O3S"
"219.0257818","C6H8O7N2"
"219.0298823","C11H8O5"
"219.0332238","C8H12O5S"
"219.0410325","C10H8O4N2"
"219.050995","C8H12O7"
"219.0523876","C9H8O3N4"
"219.0540754","C7H13O4N2P"
"219.0621801","C7H12O6N2"
"219.0662407","C12H12O4"
"219.0663513","C12H12O4"
"219.0695813","C9H16O4S"
"219.0734257","C6H12O5N4"
"219.0774907","C11H12O3N2"
"219.0873877","C9H16O6"
"219.0888561","C10H12O2N4"
"219.098595","C8H16O5N2"
"219.0987159","C8H16O5N2"
"219.1026309","C13H16O3"
"219.1060392","C10H20O3S"
"219.1237664","C10H20O5"
"219.125148","C11H16ON4"
"219.1390265","C14H20O2"
"219.1424465","C11H24O2S"
"219.1754173","C15H24O"
"220.0250943","C10H7O5N"
"220.0252457","C10H7O5N"
"220.038044","C7H12O5NP"
