"","contribution","threshold"
"1",3.85571786555965,2
"2",4.98383733483747,3
"3",4.6831719778404,4
"4",5.39558373790017,5
"5",4.9056322139407,6
"6",5.78353718107883,7
"7",6.74881755095419,8
"8",6.29124554395275,9
"9",6.65498495755776,10
"10",7.38760336688112,11
"11",7.04025965907236,12
"12",7.45380157407084,13
"13",8.01310816130418,14
"14",7.83897721851993,15
"15",8.34338012277608,16
"16",7.88609202859452,17
"17",8.12745949751178,18
"18",8.7369668577576,19
"19",8.01518220891635,20
"20",8.4038429734539,21
"21",8.74128654604314,22
"22",7.90139081380473,23
"23",9.11514984436552,24
"24",7.6397737454772,25
"25",9.07916189349576,26
"26",8.72230617333434,27
"27",8.15963336099498,28
"28",8.47091756537283,29
"29",8.91318714851612,30
"30",9.14574500162169,31
"31",8.29136775105318,32
"32",8.68358698877001,33
"33",9.33643078537099,34
"34",9.56550610334198,35
"35",9.26245553098831,36
"36",8.85956285238881,37
"37",9.50498259980667,38
"38",9.45068909812416,39
"39",8.55248497819667,40
"40",8.08281718015339,41
"41",8.60790788554011,42
"42",9.41241427464896,43
"43",8.66416543314793,44
"44",9.9132584814542,45
"45",8.85176341316383,46
"46",9.32792686617382,47
"47",9.18546184213997,48
"48",8.54340054690663,49
"49",8.36191169173098,50
