"","contribution","threshold"
"1",5.79257811301565,2
"2",7.94435257608781,3
"3",9.62013455298021,4
"4",12.7601224517621,5
"5",15.8960086086288,6
"6",16.1393291120962,7
"7",17.0067079857628,8
"8",17.9365494145883,9
"9",17.4196118345314,10
"10",19.3310290965253,11
"11",21.093268565441,12
"12",18.715712924693,13
"13",16.5455572716257,14
"14",20.8450978968736,15
"15",20.7257092833155,16
"16",20.9127822825747,17
"17",21.1870168491195,18
"18",20.463717828131,19
"19",22.0765229273568,20
"20",20.7882807808102,21
"21",20.6328280429616,22
"22",22.1830936684018,23
"23",22.3729504562632,24
"24",21.3356042639413,25
"25",21.6216466705172,26
"26",22.4315383160229,27
"27",20.8404140638358,28
"28",21.8591462383912,29
"29",22.8070862497371,30
"30",21.8766853279246,31
"31",23.5696712302684,32
"32",19.2614072781223,33
"33",21.4078650861582,34
"34",24.7967024064144,35
"35",24.7743324459984,36
"36",19.1538808677626,37
"37",23.0423582575798,38
"38",17.6530366042503,39
"39",18.5607110894381,40
"40",20.3860687334831,41
"41",21.0768513900902,42
"42",22.0976173417552,43
"43",18.168902983832,44
"44",22.5604506929358,45
"45",21.1166332276551,46
"46",21.633114782745,47
"47",18.9552139750573,48
"48",23.5155367138634,49
"49",20.444910184195,50
