"","contribution","threshold"
"1",12.1154578718621,2
"2",14.59604966463,3
"3",14.45436069572,4
"4",14.0963713428294,5
"5",14.3093533758223,6
"6",14.6626859973818,7
"7",15.5242053358755,8
"8",13.5909967021564,9
"9",16.1293922395019,10
"10",14.1325043805755,11
"11",13.1335458239476,12
"12",15.0280817271404,13
"13",14.9292056061597,14
"14",14.7733335076181,15
"15",15.4904853487648,16
"16",15.8350521779555,17
"17",14.9439316666966,18
"18",16.1798211993832,19
"19",13.8802029557422,20
"20",13.8894037502945,21
"21",14.7859341509465,22
"22",15.399181845645,23
"23",15.0798171617103,24
"24",14.8162759081986,25
"25",13.8302898942375,26
"26",13.0605165560598,27
"27",14.2289447732576,28
"28",13.7428444353842,29
"29",14.7697464676878,30
"30",13.4093466517348,31
"31",14.2548751773792,32
"32",13.8536708712878,33
"33",14.2877998164009,34
"34",12.8052270760814,35
"35",13.3506699385443,36
"36",13.0462410688523,37
"37",13.8745512362521,38
"38",13.5513157914753,39
"39",14.7125406398655,40
"40",13.7278675772871,41
"41",13.3507803000543,42
"42",12.1429914372444,43
"43",14.1436140814942,44
"44",13.0871633600091,45
"45",13.3511492965582,46
"46",12.724699856412,47
"47",13.0533390051176,48
"48",13.9849800010724,49
"49",13.7747113148841,50
