"","contribution","threshold"
"1",4.30394711765885,2
"2",6.45084880996078,3
"3",5.67026466134209,4
"4",7.4463159806569,5
"5",7.97091669289028,6
"6",9.11704172349011,7
"7",9.94762393889393,8
"8",11.9853405300844,9
"9",11.1258900088645,10
"10",11.8833891765103,11
"11",12.0254642319402,12
"12",13.5486326720236,13
"13",12.8067608105342,14
"14",12.3651743650533,15
"15",13.6540006060422,16
"16",13.4007926994726,17
"17",12.5557503237262,18
"18",13.8128806990821,19
"19",13.7622420023772,20
"20",14.8807167781664,21
"21",13.1596514708137,22
"22",13.3591122314446,23
"23",13.0005384294036,24
"24",15.5413259527244,25
"25",14.4161835224671,26
"26",15.5815270993806,27
"27",13.0400686207837,28
"28",15.1771519457031,29
"29",14.2901332422561,30
"30",14.3389774130263,31
"31",14.031615631268,32
"32",13.5906070502363,33
"33",14.3176473506828,34
"34",13.376043014137,35
"35",15.1389204459952,36
"36",14.6976643917751,37
"37",14.9934234120887,38
"38",13.5565036770442,39
"39",14.0408577801326,40
"40",13.5869473695143,41
"41",14.6957159008,42
"42",12.7052753416465,43
"43",14.2990332728425,44
"44",13.85703864209,45
"45",13.3931205473353,46
"46",14.188303681894,47
"47",14.8704950864659,48
"48",14.8972527083522,49
"49",14.4922821351323,50
