"","contribution","threshold"
"1",6.48509227604611,2
"2",7.8523545205087,3
"3",8.0569865883731,4
"4",9.30075160598131,5
"5",11.2703108419662,6
"6",14.9939949693306,7
"7",13.0021127114666,8
"8",14.9155696383578,9
"9",15.3209611903559,10
"10",12.9746589566118,11
"11",17.5958247515133,12
"12",18.360128815342,13
"13",15.242629042087,14
"14",16.671121426285,15
"15",17.9030650590644,16
"16",17.99687987359,17
"17",17.1177588975869,18
"18",18.761134297932,19
"19",18.5559847545672,20
"20",20.484562536758,21
"21",19.4820068501627,22
"22",21.5843007866159,23
"23",19.444553951339,24
"24",20.2604123221892,25
"25",17.7638494513862,26
"26",19.7270686093084,27
"27",19.1304115887329,28
"28",18.736625321472,29
"29",19.8043606590594,30
"30",19.9202945271862,31
"31",20.0914137412832,32
"32",19.6469140265445,33
"33",18.5475078789135,34
"34",18.9125505001717,35
"35",19.335959417487,36
"36",20.0782828032887,37
"37",18.4432369971365,38
"38",17.1992559775342,39
"39",19.7570821936432,40
"40",19.0779016021292,41
"41",21.2418952598439,42
"42",19.2199622519031,43
"43",18.9047731880955,44
"44",19.9991545952784,45
"45",20.0483300437621,46
"46",19.1416453766182,47
"47",19.7081876021526,48
"48",20.7114123220029,49
"49",19.7620714022489,50
