"","contribution","threshold"
"1",9.09719734555371,2
"2",13.0123311121167,3
"3",15.5894252332766,4
"4",17.5726191038715,5
"5",17.656403298021,6
"6",20.4768302826069,7
"7",21.6877869390216,8
"8",21.5035040363823,9
"9",24.2563826421521,10
"10",22.440925634821,11
"11",23.5041861178432,12
"12",21.7540609371374,13
"13",21.6403867517653,14
"14",23.5800885462024,15
"15",23.0821478702124,16
"16",23.8613585975756,17
"17",22.8818170746728,18
"18",22.5338897496508,19
"19",23.3093304409077,20
"20",22.841135883998,21
"21",21.3214285365033,22
"22",21.1057309888348,23
"23",22.2739235335737,24
"24",20.5700976514243,25
"25",20.6949704349164,26
"26",21.1437686961696,27
"27",24.3528617116582,28
"28",19.9473506756073,29
"29",23.8942023747694,30
"30",22.1767423372066,31
"31",21.365712154752,32
"32",20.5356125996388,33
"33",19.8974056581928,34
"34",22.4396735815862,35
"35",19.2965482802015,36
"36",22.4453898079279,37
"37",19.5759782563662,38
"38",19.9847015220804,39
"39",21.9863874600874,40
"40",19.6026008878382,41
"41",21.4296295734998,42
"42",18.151368979621,43
"43",18.8544721521413,44
"44",19.7352313493933,45
"45",19.2045891591092,46
"46",20.7994823353086,47
"47",21.4455126880775,48
"48",20.0372953695166,49
"49",20.8650918992136,50
