"","contribution","threshold"
"1",7.57875733468707,2
"2",11.6048315691384,3
"3",11.2971546058459,4
"4",12.5427790562935,5
"5",13.7506676984184,6
"6",14.2799631164393,7
"7",14.5176684590951,8
"8",17.4908257166053,9
"9",15.2585961483666,10
"10",18.033300781937,11
"11",18.4920653069128,12
"12",19.3958332854621,13
"13",19.4669917907481,14
"14",20.3380868164918,15
"15",17.6617134379668,16
"16",20.7552036314722,17
"17",23.9774727889827,18
"18",22.9133845838714,19
"19",23.2264772657539,20
"20",21.0809081675905,21
"21",24.4963874624942,22
"22",22.0237228911389,23
"23",25.5452580875471,24
"24",21.1726864254459,25
"25",23.6687211113217,26
"26",25.7806359357877,27
"27",23.3968579602716,28
"28",24.1894391740845,29
"29",21.3169693209288,30
"30",27.0104677093007,31
"31",25.2339170704868,32
"32",23.52388204363,33
"33",25.9712042838481,34
"34",25.8262284189224,35
"35",26.7012185669475,36
"36",26.2770954456828,37
"37",23.9857550001602,38
"38",26.5925526832297,39
"39",26.535281037409,40
"40",26.3219102992744,41
"41",27.7015475808095,42
"42",24.8735491812007,43
"43",24.922078223428,44
"44",25.8534016960098,45
"45",25.7487987083404,46
"46",32.5913439693691,47
"47",26.5381351540095,48
"48",25.7478687783884,49
"49",27.2072626756575,50
