sample,total.transformations
Sample_S19S_0027_Sed_Field_ICR.M_p2,23954
Sample_S19S_0027_Sed_Field_ICR.U_p2,20336
Sample_S19S_0028_ICR.1_p05,23942
Sample_S19S_0028_ICR.2_p05,31967
Sample_S19S_0028_ICR.3_p05,32800
Sample_S19S_0028_Sed_Field_ICR.D_p2,13573
Sample_S19S_0029_ICR.2_p05,31622
Sample_S19S_0029_ICR.3_p05,31283
Sample_S19S_0029_Sed_Field_ICR.D_p2,21821
Sample_S19S_0029_Sed_Field_ICR.M_p2,23359
Sample_S19S_0029_Sed_Field_ICR.U_p2,22738
Sample_S19S_0030_ICR.1_p05,23049
Sample_S19S_0030_ICR.3_p05,20088
Sample_S19S_0030_Sed_Field_ICR.M_p15,7007
Sample_S19S_0030_Sed_Field_ICR.U_p2,23130
Sample_S19S_0031_ICR.1_p05,23926
Sample_S19S_0031_ICR.2_p05,14825
Sample_S19S_0031_ICR.3_p05,17651
Sample_S19S_0031_Sed_Field_ICR.D_p2,20318
Sample_S19S_0031_Sed_Field_ICR.M_p2,23573
Sample_S19S_0031_Sed_Field_ICR.U_p2,21332
Sample_S19S_0032_ICR.1_p05,34210
Sample_S19S_0032_ICR.2_p05,37401
Sample_S19S_0032_ICR.3_p05,40395
Sample_S19S_0032_Sed_Field_ICR.D_p2,19188
Sample_S19S_0032_Sed_Field_ICR.M_p2,26206
Sample_S19S_0032_Sed_Field_ICR.U_p2,25987
Sample_S19S_0033_ICR.2_p05,32154
Sample_S19S_0033_ICR.3_p05,33604
Sample_S19S_0033_Sed_Field_ICR.M_p15,27065
Sample_S19S_0033_Sed_Field_ICR.U_p15,20383
Sample_S19S_0034_ICR.1_p05,35509
Sample_S19S_0034_ICR.2_p05,27216
Sample_S19S_0034_ICR.3_p05,32303
Sample_S19S_0034_Sed_Field_ICR.D_p2,26933
Sample_S19S_0034_Sed_Field_ICR.M_p2,12036
Sample_S19S_0034_Sed_Field_ICR.U_p2,19162
Sample_S19S_0035_ICR.1_p05,37616
Sample_S19S_0035_ICR.2_p05,35401
Sample_S19S_0035_ICR.3_p05,36898
Sample_S19S_0035_Sed_Field_ICR.M_p1,39101
Sample_S19S_0035_Sed_Field_ICR.U_p2,23584
Sample_S19S_0036_ICR.1_p05,40905
Sample_S19S_0036_ICR.2_p05,31393
Sample_S19S_0036_ICR.3_p05,37209
Sample_S19S_0036_Sed_Field_ICR.D_p1,11395
Sample_S19S_0036_Sed_Field_ICR.M_p2,20852
Sample_S19S_0036_Sed_Field_ICR.U_p2,15369
Sample_S19S_0037_ICR.1_p05,31357
Sample_S19S_0037_ICR.2_p05,46580
Sample_S19S_0037_Sed_Field_ICR.D_p15,22032
Sample_S19S_0037_Sed_Field_ICR.U_p2,17353
Sample_S19S_0038_ICR.1_p05,31295
Sample_S19S_0038_ICR.2_p05,13546
Sample_S19S_0038_ICR.3_p05,37932
Sample_S19S_0038_Sed_Field_ICR.D_p2,19079
Sample_S19S_0038_Sed_Field_ICR.M_p2,16590
Sample_S19S_0038_Sed_Field_ICR.U_p15,21021
Sample_S19S_0039_ICR.1_p05,60477
Sample_S19S_0039_ICR.2_p05,55997
Sample_S19S_0039_ICR.3_p05,58549
Sample_S19S_0039_Sed_Field_ICR.D_p2,26337
Sample_S19S_0039_Sed_Field_ICR.M_p1,28951
Sample_S19S_0039_Sed_Field_ICR.U_p2,23816
Sample_S19S_0040_ICR.2_p05,34956
Sample_S19S_0040_ICR.3_p05,32841
Sample_S19S_0040_Sed_Field_ICR.M_p15,13165
Sample_S19S_0040_Sed_Field_ICR.U_p2,24427
Sample_S19S_0041_ICR.1_p05,32088
Sample_S19S_0041_ICR.2_p05,30975
Sample_S19S_0041_ICR.3_p05,37675
Sample_S19S_0041_Sed_Field_ICR.D_p2,22724
Sample_S19S_0041_Sed_Field_ICR.M_p2,17281
Sample_S19S_0041_Sed_Field_ICR.U_p2,23696
Sample_S19S_0042_ICR.1_p05,45603
