"Mass","Total_all_peaks","Total_all_sed","Total_all_water","Total_mf_peaks","Total_mf_sed","Total_mf_water"
"215.0049571",4,4,NA,1,1,NA
"215.0196827",782,199,583,781,198,583
"215.0310603",6,NA,6,6,NA,6
"215.0349424",571,115,456,571,115,456
"215.0383432",1017,27,990,988,26,962
"215.0560786",17853,8606,9247,17675,8568,9107
"215.0562145",1,NA,1,1,NA,1
"215.0673758",24,NA,24,24,NA,24
"215.0924726",20145,10181,9964,20036,10167,9869
"215.1036945",823,823,NA,761,761,NA
"215.1288446",12453,7369,5084,12452,7369,5083
"215.1400805",950,950,NA,950,950,NA
"215.1440804",2,2,NA,1,1,NA
"215.1652394",4224,4183,41,4219,4178,41
"216.0302045",100,NA,100,100,NA,100
"216.0335759",20,NA,20,20,NA,20
"216.0513193",389,325,64,389,325,64
"216.0666571",55,NA,55,55,NA,55
"216.0877266",3537,3149,388,3479,3107,372
"216.1240952",4359,3609,750,4322,3598,724
"216.2081904",1,1,NA,1,1,NA
"216.9812031",38,18,20,39,19,20
"217.0142179",601,168,433,604,173,431
"217.0175559",96,8,88,93,8,85
"217.0353211",381,129,252,381,129,252
"217.0354695",11,NA,11,11,NA,11
"217.0423701",1,1,NA,1,1,NA
"217.0505866",2181,147,2034,2179,147,2032
"217.0507218",5,NA,5,5,NA,5
"217.0539849",300,93,207,303,93,210
"217.0618563",24,NA,24,24,NA,24
"217.0717431",18903,10471,8432,18272,10203,8069
"217.0869518",84,4,80,84,4,80
"217.0870944",17,NA,17,17,NA,17
"217.0983515",1,1,NA,1,1,NA
"217.1081169",16583,9930,6653,16280,9776,6504
"217.1234006",29,29,NA,29,29,NA
"217.1267846",37,37,NA,37,37,NA
"217.1444967",4454,4312,142,4301,4164,137
"217.1598223",28,28,NA,28,28,NA
"217.9765058",6,NA,6,6,NA,6
"218.0459417",19,NA,19,19,NA,19
"218.0493045",6,NA,6,6,NA,6
"218.0782233",116,95,21,116,95,21
"218.1033705",4217,4167,50,4150,4102,48
"218.9604797",1,1,NA,1,1,NA
"218.9791372",3,3,NA,3,3,NA
"218.9968483",34,23,11,36,24,12
"219.0298823",12713,3480,9233,12717,3480,9237
"219.0332238",349,NA,349,347,NA,347
