"Mass","Total_all_peaks","Total_all_sed","Total_all_water","Total_mf_peaks","Total_mf_sed","Total_mf_water"
"341.1031062",5803,132,5671,5801,132,5669
"341.1064053",1459,45,1414,1457,44,1413
"341.1098217",5,5,NA,5,5,NA
"341.1104366",5,3,2,2,1,1
"341.1120054",6,6,NA,3,3,NA
"341.1136404",2,2,NA,2,2,NA
"341.1194809",4,4,NA,4,4,NA
"341.1275373",138,9,129,137,9,128
"341.1354562",1876,27,1849,1839,27,1812
"341.1379004",1,1,NA,1,1,NA
"341.1394885",2160,20,2140,2160,20,2140
"341.1428161",2878,1259,1619,2873,1257,1616
"341.1483271",13,13,NA,13,13,NA
"341.1501405",59,59,NA,56,56,NA
"341.1556936",3,3,NA,3,3,NA
"341.1606173",27333,13847,13486,27332,13847,13485
"341.1639791",11,11,NA,9,9,NA
"341.1831094",870,870,NA,867,867,NA
"341.1957794",146,24,122,67,12,55
"341.1969848",18211,14185,4026,17884,13961,3923
"341.2042417",41,25,16,40,25,15
"341.2073516",1,1,NA,1,1,NA
"341.2082162",65,50,15,65,50,15
"341.2122336",482,482,NA,480,480,NA
"341.2250925",1,1,NA,1,1,NA
"341.2334189",1948,1893,55,1826,1774,52
"341.2446083",120,120,NA,114,114,NA
"341.2697302",1695,1673,22,1682,1658,24
"342.0255847",1951,66,1885,1951,66,1885
"342.0289642",249,NA,249,249,NA,249
"342.0467143",8308,NA,8308,8303,NA,8303
"342.0500976",12,NA,12,11,NA,11
"342.0522007",1,NA,1,1,NA,1
"342.0619966",1887,20,1867,1884,20,1864
"342.0653388",370,NA,370,370,NA,370
"342.0830768",15937,1460,14477,15916,1460,14456
"342.0960955",561,561,NA,468,468,NA
"342.0983003",1696,NA,1696,1694,NA,1694
"342.1016758",957,37,920,956,37,919
"342.1071796",4,4,NA,4,4,NA
"342.1194926",12523,1259,11264,12740,1286,11454
"342.1306966",1292,954,338,1292,954,338
"342.1324526",58,58,NA,53,53,NA
"342.1380855",16,NA,16,16,NA,16
"342.1405819",549,549,NA,548,548,NA
"342.1565713",4,4,NA,4,4,NA
"342.1670651",2606,2606,NA,2603,2603,NA
"342.1688535",13,13,NA,11,11,NA
"342.1922588",2740,2684,56,2740,2684,56
"342.1929545",3,3,NA,2,2,NA
"342.2398923",118,118,NA,118,118,NA
"342.9527871",1,NA,1,1,NA,1
"342.9659347",1,NA,1,1,NA,1
"342.9667437",5,5,NA,5,5,NA
"342.9731576",61,54,7,60,53,7
"342.9951515",2,NA,2,2,NA,2
"343.0069799",16,16,NA,16,16,NA
"343.0096148",4942,1004,3938,4939,1002,3937
"343.0129774",1402,31,1371,1402,31,1371
"343.0281918",64,NA,64,66,NA,66
"343.0307124",17959,2994,14965,17957,2993,14964
"343.0436649",23,1,22,23,1,22
"343.0459579",15118,3422,11696,15113,3418,11695
"343.0492868",2565,62,2503,2562,62,2500
"343.0564932",92,7,85,87,7,80
"343.0566845",3,NA,3,3,NA,3
"343.0622871",1,1,NA,1,1,NA
"343.0674097",2,2,NA,2,2,NA
"343.0702855",242,NA,242,180,NA,180
"343.0704844",20,NA,20,19,NA,19
"343.0783969",356,NA,356,356,NA,356
"343.0797394",2,2,NA,2,2,NA
"343.0801181",722,528,194,509,376,133
"343.0823925",6374,1013,5361,6374,1013,5361
"343.0857039",8059,326,7733,7837,320,7517
"343.0878515",2,NA,2,1,NA,1
"343.0890257",8,8,NA,8,8,NA
"343.0913225",19,19,NA,17,17,NA
"343.0922054",109,NA,109,108,NA,108
"343.0929773",130,130,NA,50,50,NA
"343.1034685",45674,18959,26715,45662,18959,26703
"343.1040951",3,3,NA,1,1,NA
"343.1147254",1962,116,1846,1912,112,1800
"343.1164862",1031,980,51,968,919,49
"343.1187422",13075,1268,11807,13072,1268,11804
"343.1220769",2478,457,2021,2480,462,2018
"343.1260774",6,2,4,5,2,3
"343.1293961",2,2,NA,1,1,NA
"343.1325405",2,2,NA,2,2,NA
"343.1350073",1,1,NA,1,1,NA
"343.1399075",8794,3954,4840,8789,3953,4836
"343.1405687",5,5,NA,3,3,NA
"343.1430772",5,NA,5,3,NA,3
"343.1503275",1,1,NA,1,1,NA
"343.1511672",129,110,19,129,110,19
"343.1527601",104,104,NA,104,104,NA
"343.1551386",8261,929,7332,8002,893,7109
"343.1584698",2192,1189,1003,2192,1189,1003
"343.1661596",1,1,NA,1,1,NA
"343.1762631",22962,13839,9123,22692,13572,9120
"343.1874487",90,63,27,90,63,27
"343.1914913",159,NA,159,159,NA,159
"343.1987828",226,226,NA,223,223,NA
"343.2126496",12732,11013,1719,12444,10775,1669
"343.2239793",5,NA,5,5,NA,5
"343.2278942",357,357,NA,356,356,NA
"343.2490426",5017,4983,34,5018,4983,35
"343.9786452",1,1,NA,1,1,NA
"344.0048727",44,NA,44,44,NA,44
"344.0175773",2,NA,2,2,NA,2
"344.0412523",4710,191,4519,4886,201,4685
"344.0446381",132,NA,132,141,NA,141
"344.0479088",3,3,NA,3,3,NA
"344.0623517",10016,59,9957,10016,59,9957
"344.0775907",9530,139,9391,9530,139,9391
"344.0809341",500,NA,500,478,NA,478
"344.0987606",10914,1362,9552,10912,1362,9550
"344.1018024",7,NA,7,7,NA,7
"344.1020335",2,2,NA,2,2,NA
"344.1139904",4790,NA,4790,4790,NA,4790
"344.1173262",498,165,333,498,165,333
"344.1269704",36,NA,36,36,NA,36
"344.1350437",1376,903,473,1366,903,463
"344.1352566",12,NA,12,9,NA,9
"344.1385854",1,1,NA,1,1,NA
"344.1504161",28,NA,28,28,NA,28
"344.1715382",8051,6531,1520,7701,6287,1414
"344.1827031",2664,2664,NA,2663,2663,NA
"344.1834117",3,3,NA,1,1,NA
"344.1997897",4559,4513,46,1492,1471,21
"344.2078759",4401,4359,42,4401,4359,42
"344.2086379",2,2,NA,1,1,NA
"344.2191371",1002,1002,NA,1001,1001,NA
"344.2442459",1743,1705,38,1722,1684,38
"344.9559472",3,3,NA,2,2,NA
"344.9734141",1,NA,1,1,NA,1
"344.9767269",4,3,1,1,NA,1
"344.9920601",39,NA,39,39,NA,39
"344.9922844",7,NA,7,7,NA,7
"344.9952251",5,2,3,5,2,3
"344.9954971",6,1,5,3,NA,3
"344.9984642",2,2,NA,2,2,NA
"345.0018102",6,NA,6,6,NA,6
"345.0071573",1,NA,1,1,NA,1
"345.0099038",47,NA,47,47,NA,47
"345.0101045",3,NA,3,3,NA,3
"345.0108955",2,2,NA,2,2,NA
"345.0252491",18866,5170,13696,19243,5305,13938
"345.0286059",3447,97,3350,3362,95,3267
"345.0357329",7,2,5,5,1,4
"345.0437668",65,NA,65,65,NA,65
"345.0463327",16688,3428,13260,16683,3428,13255
"345.0492455",2,NA,2,1,NA,1
"345.0592829",57,57,NA,57,57,NA
"345.0610257",1,1,NA,1,1,NA
"345.0616254",26512,7721,18791,26827,7791,19036
"345.0649742",6175,179,5996,5987,176,5811
"345.0679441",4,4,NA,2,2,NA
"345.0718867",3,1,2,3,1,2
"345.0721948",52,52,NA,41,41,NA
"345.0803248",27,NA,27,27,NA,27
"345.0827674",22290,7541,14749,21794,7458,14336
"345.0861293",29,15,14,29,15,14
"345.0940637",28,2,26,27,2,25
"345.0980089",23926,5724,18202,23888,5724,18164
"345.1013399",4671,296,4375,4421,280,4141
"345.1077835",15,NA,15,15,NA,15
"345.1086101",41,41,NA,24,24,NA
"345.1093206",247,1,246,244,NA,244
"345.1116771",2,2,NA,1,1,NA
"345.1133834",1,1,NA,1,1,NA
"345.1191373",26204,11982,14222,26202,11980,14222
"345.1198574",3,3,NA,2,2,NA
"345.1221882",29,NA,29,29,NA,29
"345.1344288",7990,1864,6126,7981,1863,6118
"345.1377389",2213,249,1964,2213,249,1964
"345.1416378",19,19,NA,19,19,NA
"345.1481047",3,3,NA,1,1,NA
"345.1555412",16725,8747,7978,16287,8549,7738
"345.1659972",2,2,NA,1,1,NA
"345.1919508",2735,2533,202,2483,2299,184
"345.1927083",5,5,NA,3,3,NA
"345.2039079",1,1,NA,1,1,NA
"345.2071936",266,122,144,265,122,143
"345.2282779",8763,8662,101,8763,8662,101
"345.2395597",116,116,NA,105,105,NA
"345.2647027",87,87,NA,79,79,NA
"345.2759504",290,290,NA,289,289,NA
"345.9962047",2,2,NA,2,2,NA
"345.9993822",1,NA,1,1,NA,1
"346.0204903",4112,99,4013,3981,91,3890
"346.0238306",95,NA,95,95,NA,95
"346.0414775",3,NA,3,3,NA,3
"346.0417015",3,NA,3,3,NA,3
"346.0419245",2,NA,2,2,NA,2
"346.0569005",8642,662,7980,8817,671,8146
"346.0602831",148,1,147,148,1,147
"346.0891745",1,1,NA,1,1,NA
"346.0932318",13135,348,12787,13128,346,12782
"346.1143644",14316,4587,9729,14229,4586,9643
"346.1153078",30,30,NA,30,30,NA
"346.1257612",7,7,NA,5,5,NA
"346.1296472",6046,NA,6046,6046,NA,6046
"346.1409181",12,NA,12,12,NA,12
"346.1507606",12383,6804,5579,12265,6760,5505
"346.1619628",1836,1836,NA,1833,1833,NA
"346.1658524",1,NA,1,1,NA,1
"346.1771696",2,2,NA,2,2,NA
"346.1790562",1355,1317,38,421,404,17
"346.1871921",5681,5658,23,5663,5640,23
"346.1878831",1,1,NA,1,1,NA
"346.2154294",3465,2973,492,2397,2013,384
"346.2235502",404,404,NA,402,402,NA
"346.9686152",2,1,1,2,1,1
"346.9868203",15,NA,15,15,NA,15
"346.9938543",24,24,NA,21,21,NA
"347.0045152",10756,2290,8466,10756,2290,8466
"347.0078431",117,NA,117,118,NA,118
"347.0109521",1,1,NA,1,1,NA
"347.0174312",81,NA,81,80,NA,80
"347.0228538",2,NA,2,2,NA,2
"347.0255631",315,14,301,315,14,301
"347.0408756",26943,8304,18639,26936,8302,18634
"347.0442381",5037,83,4954,4952,82,4870
"347.0513614",18,18,NA,16,16,NA
"347.0595033",318,NA,318,318,NA,318
"347.0620279",9846,1089,8757,9888,1089,8799
"347.0633466",4,4,NA,3,3,NA
"347.0651918",22,NA,22,8,NA,8
"347.0758936",45,38,7,40,33,7
"347.0766792",1,1,NA,1,1,NA
"347.0772564",37362,12011,25351,37005,11906,25099
"347.0805924",2760,60,2700,2754,60,2694
"347.0878713",50,50,NA,29,29,NA
"347.0885951",685,6,679,682,6,676
"347.0903002",20150,8304,11846,12280,4890,7390
"347.0908799",8,8,NA,8,8,NA
"347.0959837",2,NA,2,1,NA,1
"347.0983726",21877,7463,14414,21867,7461,14406
"347.0991984",1,1,NA,1,1,NA
"347.0996635",1,NA,1,1,NA,1
"347.1017654",9,7,2,8,6,2
"347.1136821",16691,4797,11894,16689,4797,11892
"347.1170036",7620,1638,5982,7276,1528,5748
"347.1250187",127,NA,127,104,NA,104
"347.1273883",1,1,NA,1,1,NA
"347.1348045",11584,6238,5346,11584,6238,5346
"347.1354527",3,3,NA,1,1,NA
"347.1379202",7,7,NA,1,1,NA
"347.1452121",2,2,NA,2,2,NA
"347.1500262",28614,9843,18771,28613,9842,18771
"347.1532776",101,8,93,101,8,93
"347.1534865",2,NA,2,2,NA,2
"347.1638875",2,2,NA,2,2,NA
"347.1646409",3,NA,3,3,NA,3
"347.1711801",10051,9284,767,9587,8862,725
"347.1718734",3,3,NA,3,3,NA
"347.1816816",3,3,NA,3,3,NA
"347.1864695",4959,1668,3291,4955,1664,3291
"347.2075497",5661,5589,72,5462,5393,69
"347.2228007",1593,1593,NA,1592,1592,NA
"347.2261477",51,51,NA,46,46,NA
"347.2439809",365,359,6,365,359,6
"347.2552092",121,121,NA,121,121,NA
"348.0136145",3,3,NA,3,3,NA
"348.0361356",8724,576,8148,8724,576,8148
"348.0395621",28,NA,28,28,NA,28
"348.0572934",861,NA,861,849,NA,849
"348.0725611",8042,521,7521,8037,519,7518
"348.0734857",1,1,NA,1,1,NA
"348.0754354",4,2,2,2,2,NA
"348.0759878",5,NA,5,5,NA,5
"348.0844638",1,NA,1,1,NA,1
"348.1089104",15750,467,15283,15745,466,15279
"348.1300774",7039,4685,2354,6989,4665,2324
"348.1452906",5257,151,5106,5344,151,5193
"348.1582717",159,159,NA,158,158,NA
"348.1664038",6894,6731,163,6659,6499,160
"348.1930499",1,1,NA,1,1,NA
"348.2028318",4339,4314,25,4249,4225,24
"348.2035887",2,2,NA,2,2,NA
"348.2131368",2,2,NA,1,1,NA
"348.2392517",16,16,NA,13,13,NA
"348.2674726",583,583,NA,361,361,NA
"348.2755625",512,499,13,428,419,9
"349.0023882",226,9,217,226,9,217
"349.0201636",21895,5907,15988,21871,5883,15988
"349.0235753",42,NA,42,42,NA,42
"349.0247103",9,9,NA,5,5,NA
"349.0313461",57,NA,57,57,NA,57
"349.0315274",2,NA,2,1,NA,1
"349.0354912",3,3,NA,2,2,NA
"349.0387327",353,22,331,353,22,331
"349.0408443",1,NA,1,1,NA,1
"349.0412469",106,NA,106,106,NA,106
"349.0457982",33,33,NA,14,14,NA
"349.0492979",17,17,NA,2,2,NA
"349.0551349",338,111,227,324,100,224
"349.0564693",6705,1784,4921,6694,1784,4910
"349.0574462",2,2,NA,2,2,NA
"349.0598406",1639,5,1634,1639,5,1634
"349.0633197",5,3,2,3,3,NA
"349.0678584",688,6,682,676,6,670
"349.0692161",1,1,NA,1,1,NA
"349.0728998",20,18,2,20,18,2
"349.0776304",3637,139,3498,3637,139,3498
"349.0807773",7,7,NA,3,3,NA
"349.0881102",1,1,NA,1,1,NA
"349.0903197",13,13,NA,13,13,NA
"349.0929209",30273,8035,22238,30269,8035,22234
"349.0962266",2071,34,2037,2091,36,2055
"349.1042255",1328,NA,1328,1328,NA,1328
"349.1059291",14912,7207,7705,11557,5405,6152
"349.1065816",2,2,NA,2,2,NA
"349.1113881",163,NA,163,163,NA,163
"349.1139524",1296,334,962,1296,334,962
"349.1141735",22,13,9,7,3,4
"349.1144387",3,3,NA,2,2,NA
"349.1148483",3,3,NA,3,3,NA
"349.1188135",22,22,NA,20,20,NA
"349.1244082",3,3,NA,3,3,NA
"349.1325881",766,66,700,762,63,699
"349.1328073",7,2,5,7,2,5
"349.1406431",63,NA,63,63,NA,63
"349.1431357",1,1,NA,1,1,NA
"349.1504562",2252,2012,240,2170,1934,236
"349.1517397",8,8,NA,8,8,NA
"349.1557496",3,3,NA,3,3,NA
"349.1592566",1,1,NA,1,1,NA
"349.1609558",6,6,NA,6,6,NA
"349.1656793",29138,11781,17357,28514,11589,16925
"349.1664656",2,2,NA,2,2,NA
"349.1690154",1133,642,491,1132,641,491
"349.1769523",51,NA,51,51,NA,51
"349.1990399",4,4,NA,3,3,NA
"349.2021049",7708,3783,3925,6537,3304,3233
"349.2053887",195,160,35,195,160,35
"349.2230362",52,52,NA,49,49,NA
"349.2383782",19,19,NA,19,19,NA
"349.2385945",4,4,NA,4,4,NA
"349.2514492",1044,1044,NA,971,971,NA
"350.0154008",1257,23,1234,1254,22,1232
"350.0305246",1,1,NA,1,1,NA
"350.0339919",8,NA,8,8,NA,8
"350.0518357",4905,228,4677,4905,228,4677
"350.0547558",86,9,77,76,2,74
"350.0550011",8,NA,8,7,NA,7
"350.0552671",2,NA,2,1,NA,1
"350.0639324",3,1,2,3,1,2
"350.0681063",1,NA,1,1,NA,1
"350.0800605",3,3,NA,2,2,NA
"350.0881844",21320,2185,19135,21318,2184,19134
"350.0890216",2,2,NA,2,2,NA
"350.1002229",1,NA,1,1,NA,1
"350.1124171",34,34,NA,22,22,NA
"350.1184904",2,NA,2,2,NA,2
"350.1245924",6568,395,6173,6527,394,6133
"350.1382527",2,2,NA,1,1,NA
"350.1457077",7642,5422,2220,7534,5316,2218
"350.1609877",643,252,391,621,246,375
"350.1746284",2,2,NA,2,2,NA
"350.1821173",3898,3898,NA,3679,3679,NA
"350.2103248",190,172,18,181,163,18
"350.2184616",2889,2858,31,2879,2848,31
"350.2191628",5,5,NA,4,4,NA
"350.9790423",2,2,NA,1,1,NA
"350.9816016",41,NA,41,41,NA,41
"350.9887469",8,8,NA,7,7,NA
"350.9980147",2,2,NA,1,1,NA
"350.9994205",2700,652,2048,2700,652,2048
"351.0180535",953,51,902,952,51,901
"351.0250714",7,7,NA,7,7,NA
"351.0252997",3,3,NA,2,2,NA
"351.0344278",23,23,NA,19,19,NA
"351.0357871",27441,8476,18965,27439,8476,18963
"351.0390586",18,NA,18,18,NA,18
"351.0403492",99,99,NA,92,92,NA
"351.0405649",1,1,NA,1,1,NA
"351.0428801",2,2,NA,2,2,NA
"351.0455646",1,1,NA,1,1,NA
"351.0470717",411,NA,411,411,NA,411
"351.0488144",3458,366,3092,2722,294,2428
"351.0521169",56,33,23,42,26,16
"351.0544936",11,5,6,11,5,6
"351.0569128",223,17,206,215,15,200
"351.0614886",83,83,NA,83,83,NA
"351.0617272",8,5,3,5,3,2
"351.0721501",32165,10458,21707,32120,10458,21662
"351.0731314",2,2,NA,1,1,NA
"351.0873366",12,NA,12,12,NA,12
"351.0932965",974,665,309,974,665,309
"351.0938834",1,1,NA,1,1,NA
"351.1085115",21582,7696,13886,21580,7696,13884
"351.1092934",8,8,NA,2,2,NA
"351.1095046",2,2,NA,1,1,NA
"351.1118012",381,9,372,332,8,324
"351.1198443",1650,6,1644,1735,6,1729
"351.1271127",298,3,295,269,1,268
"351.1296192",186,90,96,185,89,96
"351.1328274",3,3,NA,1,1,NA
"351.1344703",410,402,8,355,350,5
"351.1351573",3,3,NA,2,2,NA
"351.1401823",3,3,NA,3,3,NA
"351.1439324",21,21,NA,17,17,NA
"351.1449775",20508,6645,13863,19566,6462,13104
"351.1482835",264,43,221,264,44,220
"351.1588031",4,4,NA,3,3,NA
"351.1602352",14,4,10,14,4,10
"351.1635528",266,20,246,264,18,246
"351.1660519",113,63,50,111,61,50
"351.1765082",3,3,NA,2,2,NA
"351.1813076",21635,10043,11592,21562,9982,11580
"351.1846476",268,155,113,261,148,113
"351.1885646",6,6,NA,6,6,NA
"351.1951797",3,3,NA,3,3,NA
"351.1960197",3,3,NA,3,3,NA
"351.2025132",31,25,6,31,25,6
"351.2129986",3,3,NA,2,2,NA
"351.2177372",10015,8133,1882,9756,7915,1841
"351.2210572",999,786,213,996,783,213
"351.2307319",3803,3428,375,3796,3422,374
"351.2500934",991,889,102,977,879,98
"351.9976177",1,NA,1,1,NA,1
"352.0131372",2,NA,2,2,NA,2
"352.0203556",5,5,NA,5,5,NA
"352.0253059",1,NA,1,1,NA,1
"352.0310225",5815,37,5778,5794,35,5759
"352.0339646",3,3,NA,3,3,NA
"352.0517276",9,8,1,5,4,1
"352.0573443",2,NA,2,1,NA,1
"352.0674721",8054,592,7462,8043,592,7451
"352.0804483",400,337,63,281,234,47
"352.0885619",1039,110,929,1000,96,904
"352.1038206",18039,2297,15742,18036,2297,15739
"352.1071238",6,6,NA,5,5,NA
"352.1540456",2,2,NA,2,2,NA
"352.1613622",4933,4846,87,4717,4634,83
"352.1616353",2,2,NA,1,1,NA
"352.1765943",4979,4448,531,4969,4441,528
"352.1978012",412,412,NA,252,252,NA
"352.2157921",2,2,NA,2,2,NA
"352.9969661",2,NA,2,1,NA,1
"353.0136349",1,1,NA,1,1,NA
"353.0150696",16941,3152,13789,16935,3146,13789
"353.0232134",2,2,NA,2,2,NA
"353.0280358",41,NA,41,40,NA,40
"353.0303338",3504,943,2561,3503,943,2560
"353.0332524",7,NA,7,3,NA,3
"353.0336695",2122,67,2055,2122,67,2055
"353.0391953",51,51,NA,51,51,NA
"353.0409428",26,1,25,19,1,18
"353.0449412",13,NA,13,13,NA,13
"353.0490772",60,56,4,60,56,4
"353.0514753",19616,5583,14033,19605,5582,14023
"353.0548092",277,NA,277,276,NA,276
"353.0585883",84,84,NA,60,60,NA
"353.0627608",566,6,560,565,6,559
"353.0661419",2,2,NA,2,2,NA
"353.0700048",825,53,772,797,53,744
"353.0715265",2,NA,2,1,NA,1
"353.0734282",10,10,NA,8,8,NA
"353.0738792",4,NA,4,4,NA,4
"353.0773697",36,15,21,34,13,21
"353.0807369",6,6,NA,4,4,NA
"353.0878166",47523,18217,29306,48006,18443,29563
"353.0911135",246,22,224,243,19,224
"353.0990962",4101,71,4030,4101,71,4030
"353.1008561",10185,6189,3996,6090,3802,2288
"353.1016865",3,3,NA,2,2,NA
"353.1030839",897,NA,897,878,NA,878
"353.1063571",345,18,327,344,17,327
"353.1065445",1,1,NA,1,1,NA
"353.1089374",300,74,226,300,74,226
"353.1097503",1,1,NA,1,1,NA
"353.1120695",7,7,NA,6,6,NA
"353.1137566",26,26,NA,25,25,NA
"353.1194942",1,1,NA,1,1,NA
"353.1216875",1,1,NA,1,1,NA
"353.1249508",5,5,NA,4,4,NA
"353.1275362",363,139,224,361,137,224
"353.1315317",77,75,2,58,57,1
"353.1354923",666,NA,666,666,NA,666
"353.1380847",3,3,NA,3,3,NA
"353.1394652",374,NA,374,374,NA,374
"353.1428017",1106,207,899,1070,188,882
"353.1484555",372,372,NA,191,191,NA
"353.1558672",6,6,NA,6,6,NA
"353.1605629",24642,11548,13094,24641,11548,13093
"353.1607533",2,2,NA,2,2,NA
"353.1613109",2,2,NA,2,2,NA
"353.1638698",38,13,25,38,13,25
"353.1677554",8,8,NA,8,8,NA
"353.1718337",54,NA,54,54,NA,54
"353.1736275",8206,7795,411,6019,5710,309
"353.1791877",481,270,211,481,270,211
"353.1970034",18655,10746,7909,17807,10337,7470
"353.1978167",1,1,NA,1,1,NA
"353.2003494",2179,1522,657,2153,1496,657
"353.2099396",4215,4015,200,4171,3971,200
"353.2155648",506,331,175,505,331,174
"353.2333297",4743,4555,188,4742,4554,188
"353.2485593",3,3,NA,3,3,NA
"353.2698065",7,7,NA,6,6,NA
"353.9955353",6,1,5,7,1,6
"354.0467104",11301,211,11090,11294,211,11083
"354.0597228",41,41,NA,29,29,NA
"354.0653026",501,NA,501,501,NA,501
"354.0830704",19585,2289,17296,19583,2289,17294
"354.0942884",727,NA,727,727,NA,727
"354.0983162",171,NA,171,171,NA,171
"354.1015246",3,NA,3,1,NA,1
"354.1128924",2,NA,2,2,NA,2
"354.1194893",17217,2317,14900,17174,2314,14860
"354.1406185",3028,3026,2,2537,2536,1
"354.1437293",271,271,NA,193,193,NA
"354.1558443",12400,3949,8451,12400,3949,8451
"354.1670412",18,18,NA,18,18,NA
"354.1688181",13,13,NA,13,13,NA
"354.1922902",1793,1774,19,1537,1520,17
"354.1931681",1,1,NA,1,1,NA
"354.2651471",3,NA,3,2,NA,2
"354.9952247",7,7,NA,7,7,NA
"355.0096063",4471,1243,3228,4459,1233,3226
"355.0129751",1230,20,1210,1230,20,1210
"355.0282767",5,NA,5,5,NA,5
"355.0306981",19961,4829,15132,20316,4938,15378
"355.0436242",78,NA,78,78,NA,78
"355.0459559",10707,1910,8797,10706,1910,8796
"355.0488236",1,NA,1,1,NA,1
"355.0492579",1703,39,1664,1702,39,1663
"355.0494452",1,NA,1,1,NA,1
"355.0507564",2,NA,2,2,NA,2
"355.0526494",10,10,NA,10,10,NA
"355.0565592",188,33,155,109,26,83
"355.0671162",29742,9940,19802,29701,9902,19799
"355.0674223",2,2,NA,2,2,NA
"355.0700154",9,NA,9,9,NA,9
"355.0703586",77,NA,77,74,NA,74
"355.0708811",2,NA,2,2,NA,2
"355.0784081",961,NA,961,959,NA,959
"355.0801167",1173,707,466,953,581,372
"355.0824171",1294,28,1266,1293,28,1265
"355.0856467",1613,22,1591,1613,22,1591
"355.0869182",4,NA,4,4,NA,4
"355.0882138",7,NA,7,7,NA,7
"355.0895843",11,NA,11,11,NA,11
"355.0921264",40,NA,40,39,NA,39
"355.0927571",5,5,NA,1,1,NA
"355.0935993",3,3,NA,3,3,NA
"355.0964064",1,1,NA,1,1,NA
"355.1034699",45975,18423,27552,45203,18170,27033
"355.1066216",279,7,272,175,3,172
"355.1068329",48,NA,48,50,NA,50
"355.1106972",1,1,NA,1,1,NA
"355.1147135",6608,NA,6608,6607,NA,6607
"355.1164999",6474,5662,812,5999,5228,771
"355.1172096",3,3,NA,3,3,NA
"355.1187368",9027,79,8948,9027,79,8948
"355.1220436",776,45,731,776,45,731
"355.1234191",4,NA,4,4,NA,4
"355.1277533",22,22,NA,6,6,NA
"355.1284102",6,NA,6,6,NA,6
"355.1294217",180,180,NA,125,125,NA
"355.1300474",1,1,NA,1,1,NA
"355.1325449",2,2,NA,2,2,NA
"355.1351314",5,5,NA,4,4,NA
"355.1399086",10146,3818,6328,10144,3816,6328
"355.1431231",61,1,60,39,1,38
"355.1433207",2,NA,2,2,NA,2
"355.1512015",16,2,14,15,2,13
"355.1551939",54,NA,54,54,NA,54
"355.1584835",2388,1400,988,2364,1378,986
"355.1623676",17,17,NA,17,17,NA
"355.1640938",8,NA,8,8,NA,8
"355.1762476",28480,15951,12529,28259,15785,12474
"355.1794412",18,9,9,2,2,NA
"355.1892674",2649,2620,29,2430,2401,29
"355.2126797",4149,3500,649,4148,3501,647
"355.2135292",1,1,NA,1,1,NA
"355.2489795",2942,2930,12,2938,2926,12
"356.0047898",12,NA,12,12,NA,12
"356.0259965",247,NA,247,247,NA,247
"356.0412949",266,3,263,266,3,263
"356.0446338",199,NA,199,198,NA,198
"356.0623586",15469,368,15101,15714,377,15337
"356.0776181",5074,NA,5074,5174,NA,5174
"356.0987693",8397,782,7615,8396,782,7614
"356.1020298",8,7,1,8,7,1
"356.1151811",2,2,NA,2,2,NA
"356.1173256",144,NA,144,144,NA,144
"356.1270168",532,266,266,266,107,159
"356.1350838",14316,2691,11625,14311,2691,11620
"356.1479601",8,8,NA,8,8,NA
"356.1504014",2,2,NA,2,2,NA
"356.1562442",278,278,NA,274,274,NA
"356.1633834",13,NA,13,9,NA,9
"356.1715182",15418,9567,5851,15392,9566,5826
"356.1835113",8,3,5,8,3,5
"356.1837491",2,NA,2,2,NA,2
"356.1996505",3,3,NA,3,3,NA
"356.2087633",4,4,NA,2,2,NA
"356.2442749",1146,1111,35,1146,1111,35
"356.9736297",38,33,5,21,16,5
"356.9740161",2,2,NA,2,2,NA
"356.9887223",13,13,NA,13,13,NA
"357.0075284",36,NA,36,36,NA,36
"357.0251986",10293,2565,7728,10222,2496,7726
"357.0337984",3,3,NA,1,1,NA
"357.0357541",129,5,124,119,4,115
"357.0364449",17,NA,17,17,NA,17
"357.0438045",47,NA,47,47,NA,47
"357.0440038",1,NA,1,1,NA,1
"357.0494865",9,NA,9,9,NA,9
"357.0533034",1,NA,1,1,NA,1
"357.0545315",10,NA,10,6,NA,6
"357.0575559",38,NA,38,38,NA,38
"357.0593141",138,88,50,127,84,43
"357.0649448",2340,49,2291,2158,49,2109
"357.0662507",2,NA,2,2,NA,2
"357.0713925",5,NA,5,5,NA,5
"357.0721966",82,66,16,61,54,7
"357.0728069",4,NA,4,4,NA,4
"357.0779171",5,5,NA,5,5,NA
"357.0795606",14,14,NA,18,18,NA
"357.0827228",37011,13474,23537,37002,13472,23530
"357.0858552",264,NA,264,228,NA,228
"357.0860436",7,NA,7,7,NA,7
"357.0957003",423,375,48,423,375,48
"357.0979761",15008,1811,13197,14999,1806,13193
"357.1012479",1599,28,1571,1593,23,1570
"357.1025729",9,NA,9,8,NA,8
"357.1068037",16,16,NA,16,16,NA
"357.1077402",16,NA,16,15,NA,15
"357.1085992",459,451,8,317,310,7
"357.1091797",15,7,8,15,7,8
"357.1110353",16734,6091,10643,10220,3546,6674
"357.1151362",3,3,NA,2,2,NA
"357.1191097",43659,18053,25606,44146,18276,25870
"357.1199333",5,5,NA,4,4,NA
"357.1223191",227,7,220,88,1,87
"357.1225029",7,NA,7,7,NA,7
"357.1264354",13,13,NA,6,6,NA
"357.1295663",1,NA,1,1,NA,1
"357.1377249",1668,456,1212,1572,413,1159
"357.1391245",2,2,NA,2,2,NA
"357.1402194",5,NA,5,5,NA,5
"357.1450925",138,138,NA,136,136,NA
