MolForm,Class,Group,cs.flag.emergent_sed,cs.flag.emergent_water,cs.flag.emergent_overlap,cs.flag.emergent_general.overlap
C10H10O5,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C10H10O6,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C10H12O5,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C10H12O5N2,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C10H12O6,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C10H12O7,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C10H13O6N,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C10H14O5,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C10H14O5S,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C10H14O6,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C10H14O7,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C10H16O5,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C10H16O6,AminoSugar,Unsaturated aliphatics,Core,Core,Global core,Global core
C10H16O7,Carb,Unsaturated aliphatics,Core,Core,Global core,Global core
C10H18O4,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C10H18O5,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C10H8O6,Lignin,Phenols,Core,Core,Global core,Global core
C10H9O11N2S2P,Other,Sugars,Core,Core,Global core,Global core
C11H10O6,Lignin,Phenols,Core,Core,Global core,Global core
C11H10O7,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C11H11O11N2S2P,Tannin,Sugars,Core,Core,Global core,Global core
C11H12O5,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C11H12O6,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C11H12O7,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C11H12O8,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C11H14O4,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C11H14O5,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C11H14O6,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C11H14O7,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C11H14O8,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C11H16O4,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C11H16O5,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C11H16O6,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C11H16O7,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C11H16O8,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C11H18O4,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C11H18O5,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C11H18O6,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C11H18O7,AminoSugar,Unsaturated aliphatics,Core,Core,Global core,Global core
C11H20O4,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C11H20O5,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C11H6O13N3P,Other,Combusted polycondensed aromatics,Core,Core,Global core,Global core
C11H8O7,ConHC,Phenols,Core,Core,Global core,Global core
C12H10O7,Lignin,Polyphenols,Core,Core,Global core,Global core
C12H10O8,Tannin,Polyphenols,Core,Core,Global core,Global core
C12H12O5,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C12H12O6,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C12H12O7,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C12H12O8,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C12H12O9,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C12H14O4,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C12H14O5,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C12H14O6,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C12H14O7,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C12H14O8,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C12H14O9,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C12H16O4,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C12H16O5,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C12H16O6,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C12H16O7,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C12H16O8,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C12H18O4,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C12H18O5,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C12H18O6,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C12H18O7,AminoSugar,Unsaturated aliphatics,Core,Core,Global core,Global core
C12H18O8,AminoSugar,Unsaturated aliphatics,Core,Core,Global core,Global core
C12H19O9P,Carb,Unsaturated aliphatics,Core,Core,Global core,Global core
C12H20O4,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C12H20O5,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C12H20O6,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C12H20O7,AminoSugar,Unsaturated aliphatics,Core,Core,Global core,Global core
C12H21O4N,Protein,NA,Core,Core,Global core,Global core
C12H21O5N,Protein,NA,Core,Core,Global core,Global core
C12H21O7N,AminoSugar,NA,Core,Core,Global core,Global core
C12H22O4,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C12H22O5,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C12H24O6N4S,Protein,NA,Core,Core,Global core,Global core
C12H26O4S,Protein,NA,Core,Core,Global core,Global core
C12H8ONS2P,ConHC,Combusted polycondensed aromatics,Core,Core,Global core,Global core
C13H10O8,ConHC,Polyphenols,Core,Core,Global core,Global core
C13H10O9,ConHC,Polyphenols,Core,Core,Global core,Global core
C13H10ONS2P,ConHC,Polyphenols,Core,Core,Global core,Global core
C13H12O6,Lignin,Polyphenols,Core,Core,Global core,Global core
C13H12O8,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C13H12O9,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C13H14O10,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C13H14O6,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C13H14O7,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C13H14O8,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C13H14O9,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C13H16O4,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C13H16O5,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C13H16O6,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C13H16O7,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C13H16O8,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C13H16O9,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C13H18O4,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C13H18O5,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C13H18O6,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C13H18O7,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C13H18O8,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C13H19O9N,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C13H20O4,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C13H20O5,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C13H20O6,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C13H20O7,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C13H20O8,AminoSugar,Unsaturated aliphatics,Core,Core,Global core,Global core
C13H20O9,AminoSugar,Unsaturated aliphatics,Core,Core,Global core,Global core
C13H21O7N,Protein,NA,Core,Core,Global core,Global core
C13H21O8N,AminoSugar,NA,Core,Core,Global core,Global core
C13H21O9N,AminoSugar,NA,Core,Core,Global core,Global core
C13H22O4,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C13H22O5,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C13H22O6,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C13H22O7,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C13H23O7N,Protein,NA,Core,Core,Global core,Global core
C13H23O8N,AminoSugar,NA,Core,Core,Global core,Global core
C13H23O9P,AminoSugar,Unsaturated aliphatics,Core,Core,Global core,Global core
C13H24O4,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C13H25O3N,Lipid,NA,Core,Core,Global core,Global core
C13H28O4S,Protein,NA,Core,Core,Global core,Global core
C14H12O10,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C14H12O7,Lignin,Polyphenols,Core,Core,Global core,Global core
C14H12O8,Lignin,Polyphenols,Core,Core,Global core,Global core
C14H12O9,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C14H14O10,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C14H14O6,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C14H14O7,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C14H14O8,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C14H14O9,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C14H16O10,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C14H16O5,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C14H16O6,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C14H16O7,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C14H16O8,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C14H16O9,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C14H18O10,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C14H18O4,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C14H18O5,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C14H18O6,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C14H18O7,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C14H18O8,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C14H18O9,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C14H19O9P,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C14H20O4,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C14H20O5,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C14H20O6,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C14H20O7,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C14H20O8,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C14H20O9,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C14H21O10N,Carb,NA,Core,Core,Global core,Global core
C14H21O10P,Carb,Unsaturated aliphatics,Core,Core,Global core,Global core
C14H21O8P,AminoSugar,Unsaturated aliphatics,Core,Core,Global core,Global core
C14H21O9N,AminoSugar,NA,Core,Core,Global core,Global core
C14H22O2,Lipid,Unsaturated aliphatics,Core,Core,Global core,Global core
C14H22O4,Lipid,Unsaturated aliphatics,Core,Core,Global core,Global core
C14H22O5,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C14H22O6,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C14H22O7,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C14H22O8,AminoSugar,Unsaturated aliphatics,Core,Core,Global core,Global core
C14H22O9,AminoSugar,Unsaturated aliphatics,Core,Core,Global core,Global core
C14H23O4P,Lipid,Unsaturated aliphatics,Core,Core,Global core,Global core
C14H23O8N,AminoSugar,NA,Core,Core,Global core,Global core
C14H23O8P,AminoSugar,Unsaturated aliphatics,Core,Core,Global core,Global core
C14H23O9N,AminoSugar,NA,Core,Core,Global core,Global core
C14H23O9P,AminoSugar,Unsaturated aliphatics,Core,Core,Global core,Global core
C14H24O5,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C14H24O6,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C14H24O7,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C14H25O8P,AminoSugar,Unsaturated aliphatics,Core,Core,Global core,Global core
C14H25O9P,AminoSugar,Unsaturated aliphatics,Core,Core,Global core,Global core
C14H30O5S,Protein,NA,Core,Core,Global core,Global core
C15H12O10,Tannin,Polyphenols,Core,Core,Global core,Global core
C15H12O8,Lignin,Polyphenols,Core,Core,Global core,Global core
C15H12O9,Lignin,Polyphenols,Core,Core,Global core,Global core
C15H14O10,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H14O11,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H14O7,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H14O8,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H14O9,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H16O10,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H16O11,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H16O6,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H16O7,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H16O8,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H16O9,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H18O10,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H18O11,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H18O5,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H18O6,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H18O7,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H18O8,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H18O9,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H20O10,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H20O4,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H20O5,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H20O6,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H20O7,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H20O8,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H20O9,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H21O9P,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H22O10,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H22O2,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H22O3,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H22O4,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H22O5,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H22O6,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H22O7,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H22O8,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H22O9,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C15H23O10N,AminoSugar,NA,Core,Core,Global core,Global core
C15H23O11N,Carb,NA,Core,Core,Global core,Global core
C15H23O8N,Protein,NA,Core,Core,Global core,Global core
C15H23O9N,AminoSugar,NA,Core,Core,Global core,Global core
C15H23O9P,AminoSugar,Unsaturated aliphatics,Core,Core,Global core,Global core
C15H24O4,Lipid,Unsaturated aliphatics,Core,Core,Global core,Global core
C15H24O5,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C15H24O6,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C15H24O7,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C15H24O8,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C15H24O9,AminoSugar,Unsaturated aliphatics,Core,Core,Global core,Global core
C15H25O8N,Protein,NA,Core,Core,Global core,Global core
C15H25O8P,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C15H25O9P,AminoSugar,Unsaturated aliphatics,Core,Core,Global core,Global core
C15H26O6,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C15H27O8P,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C15H27O9P,AminoSugar,Unsaturated aliphatics,Core,Core,Global core,Global core
C15H32O4S,Lipid,NA,Core,Core,Global core,Global core
C16H12O10,ConHC,Polyphenols,Core,Core,Global core,Global core
C16H12O9,ConHC,Polyphenols,Core,Core,Global core,Global core
C16H14O10,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C16H14O11,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C16H14O6,Lignin,Polyphenols,Core,Core,Global core,Global core
C16H14O8,Lignin,Polyphenols,Core,Core,Global core,Global core
C16H16O10,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C16H16O11,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C16H16O12,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C16H16O8,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C16H16O9,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C16H18O10,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C16H18O11,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C16H18O12,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C16H18O7,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C16H18O8,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C16H18O9,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C16H20O10,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C16H20O11,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C16H20O5,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C16H20O6,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C16H20O7,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C16H20O8,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C16H20O9,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C16H22O10,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C16H22O4,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C16H22O5,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C16H22O6,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C16H22O7,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C16H22O8,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C16H22O9,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C16H23O7P,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C16H23O8P,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C16H23O9P,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C16H24O10,AminoSugar,Unsaturated aliphatics,Core,Core,Global core,Global core
C16H24O4,Lipid,Unsaturated aliphatics,Core,Core,Global core,Global core
C16H24O5,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C16H24O6,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C16H24O7,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C16H24O8,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C16H24O9,AminoSugar,Unsaturated aliphatics,Core,Core,Global core,Global core
C16H25O10P,AminoSugar,Unsaturated aliphatics,Core,Core,Global core,Global core
C16H25O8N,Protein,NA,Core,Core,Global core,Global core
C16H25O9N,AminoSugar,NA,Core,Core,Global core,Global core
C16H26O3S,Lipid,Unsaturated aliphatics,Core,Core,Global core,Global core
C16H26O5,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C16H26O8,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C16H26O9,AminoSugar,Unsaturated aliphatics,Core,Core,Global core,Global core
C16H27O5P,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C16H27O7P,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C16H27O8P,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C16H27O9P,AminoSugar,Unsaturated aliphatics,Core,Core,Global core,Global core
C16H28O6,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C16H29O8P,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C16H29O9P,AminoSugar,Unsaturated aliphatics,Core,Core,Global core,Global core
C16H32O2,Lipid,Unsaturated aliphatics,Core,Core,Global core,Global core
C16H34O5S,Protein,NA,Core,Core,Global core,Global core
C16H34O6S,Protein,NA,Core,Core,Global core,Global core
C16H35O5N,Protein,NA,Core,Core,Global core,Global core
C17H12O10,ConHC,Polyphenols,Core,Core,Global core,Global core
C17H14O10,Lignin,Polyphenols,Core,Core,Global core,Global core
C17H14O11,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H14O12,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H14O9,Lignin,Polyphenols,Core,Core,Global core,Global core
C17H16O10,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H16O11,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H16O12,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H16O8,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H18O10,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H18O11,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H18O12,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H18O9,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H20O10,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H20O11,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H20O12,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H20O7,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H20O8,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H20O9,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H22O10,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H22O11,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H22O6,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H22O7,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H22O8,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H22O9,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H24O10,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H24O4,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H24O5,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H24O6,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H24O7,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H24O8,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H24O9,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H25O10P,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H25O9P,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C17H26O10,AminoSugar,Unsaturated aliphatics,Core,Core,Global core,Global core
C17H26O4,Lipid,Unsaturated aliphatics,Core,Core,Global core,Global core
C17H26O5,Lipid,Unsaturated aliphatics,Core,Core,Global core,Global core
C17H26O6,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C17H26O7,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C17H26O8,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C17H26O9,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C17H27O10P,AminoSugar,Unsaturated aliphatics,Core,Core,Global core,Global core
C17H27O7N,Protein,NA,Core,Core,Global core,Global core
C17H27O8N,Protein,NA,Core,Core,Global core,Global core
C17H27O8P,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C17H27O9P,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C17H28O3S,Lipid,Unsaturated aliphatics,Core,Core,Global core,Global core
C17H28O7,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C17H28O8,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C17H29O10P,AminoSugar,Unsaturated aliphatics,Core,Core,Global core,Global core
C17H29O7P,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C17H29O8P,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C17H29O9P,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C17H31O7P,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C17H31O8P,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C17H31O9P,Protein,Unsaturated aliphatics,Core,Core,Global core,Global core
C17H34O4NP,Lipid,NA,Core,Core,Global core,Global core
C17H36O4NP,Lipid,NA,Core,Core,Global core,Global core
C17H36O5NP,Lipid,NA,Core,Core,Global core,Global core
C17H37O4P,Lipid,NA,Core,Core,Global core,Global core
C17H8O9S2,ConHC,Combusted polycondensed aromatics,Core,Core,Global core,Global core
C18H10O9S2,ConHC,Polyphenols,Core,Core,Global core,Global core
C18H12O5S2,ConHC,Polyphenols,Core,Core,Global core,Global core
C18H14O10,ConHC,Polyphenols,Core,Core,Global core,Global core
C18H14O12,ConHC,Polyphenols,Core,Core,Global core,Global core
C18H14O8,ConHC,Polyphenols,Core,Core,Global core,Global core
C18H16O10,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C18H16O11,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C18H16O12,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C18H16O13,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C18H16O9,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C18H18O10,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C18H18O11,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C18H18O13,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C18H18O9,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C18H20O10,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C18H20O11,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C18H20O13,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C18H20O7,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C18H20O8,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C18H20O9,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C18H22O10,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C18H22O11,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C18H22O12,Tannin,Highly unsaturated compounds,Core,Core,Global core,Global core
C18H22O5,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C18H22O6,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C18H22O7,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
C18H22O8,Lignin,Highly unsaturated compounds,Core,Core,Global core,Global core
