Study_code,Sample_ID,00940_Cl_mg_per_L,00945_SO4_mg_per_L_as_SO4,71851_NO3_mg_per_L_as_NO3,71856_NO2_mg_per_L_as_NO2,00950_F_mg_per_L
S19S,S19S_0039_ANI-2,9.73,13.48,7.87,0.1,0.18
S19S,S19S_0039_ANI-3,9.59,13.46,7.95,0.1,0.19
S19S,S19S_0040_ANI-1,1.72,31.91,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.37
S19S,S19S_0040_ANI-2,1.58,31.14,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.34
S19S,S19S_0040_ANI-3,1.74,31.19,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.32
S19S,S19S_0041_ANI-1,2.72,4.66,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.11
S19S,S19S_0041_ANI-2,2.83,4.85,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.1
S19S,S19S_0041_ANI-3,2.8,4.76,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.1
S19S,S19S_0042_ANI-1,1719.1,209.18,0.54,Below_Range_Less_Than_0.04,Below_Range_Less_Than_0.02
S19S,S19S_0042_ANI-2,1845.35,225.73,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,Below_Range_Less_Than_0.02
S19S,S19S_0042_ANI-3,1625.46,200.39,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,Below_Range_Less_Than_0.02
S19S,S19S_0043_ANI-1,35.22,22.81,50.69,Below_Range_Less_Than_0.04,0.1
S19S,S19S_0043_ANI-2,37.82,25.12,46.8,Below_Range_Less_Than_0.04,0.1
S19S,S19S_0043_ANI-3,36.76,23.48,50.78,Below_Range_Less_Than_0.04,0.1
S19S,S19S_0044_ANI-1,7.5,4.68,0.4,Below_Range_Less_Than_0.04,0.05
S19S,S19S_0044_ANI-2,7.54,4.45,0.21,Below_Range_Less_Than_0.04,0.05
S19S,S19S_0044_ANI-3,7.64,4.64,1.31,Below_Range_Less_Than_0.04,0.06
S19S,S19S_0045_ANI-1,96.69,121.39,32.71,0.29,0.12
S19S,S19S_0045_ANI-2,105.05,132.65,32.99,0.29,0.16
S19S,S19S_0045_ANI-3,95.96,120.28,32.79,0.27,0.13
S19S,S19S_0046_ANI-1,Below_Range_Less_Than_0.16,0.31,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,Below_Range_Less_Than_0.02
S19S,S19S_0046_ANI-2,Below_Range_Less_Than_0.16,0.34,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,Below_Range_Less_Than_0.02
S19S,S19S_0046_ANI-3,Below_Range_Less_Than_0.16,0.48,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.03
S19S,S19S_0047_ANI-1,Below_Range_Less_Than_0.16,33.61,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.05
S19S,S19S_0047_ANI-2,Below_Range_Less_Than_0.16,18.9,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0047_ANI-3,Below_Range_Less_Than_0.16,33.22,0.15,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0048_ANI-1,7.74,3.49,1.29,Below_Range_Less_Than_0.04,Below_Range_Less_Than_0.02
S19S,S19S_0048_ANI-2,7.78,3.73,1.31,Below_Range_Less_Than_0.04,Below_Range_Less_Than_0.02
S19S,S19S_0048_ANI-3,7.71,3.49,1.28,Below_Range_Less_Than_0.04,0.03
S19S,S19S_0049_ANI-1,6.64,4.86,0.66,Below_Range_Less_Than_0.04,0.06
S19S,S19S_0049_ANI-2,6.53,4.75,0.63,Below_Range_Less_Than_0.04,0.06
S19S,S19S_0049_ANI-3,6.45,4.71,0.59,Below_Range_Less_Than_0.04,0.06
S19S,S19S_0050_ANI-1,0.38,5.25,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0050_ANI-2,0.27,4.02,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0050_ANI-3,0.21,2.57,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.03
S19S,S19S_0051_ANI-1,Below_Range_Less_Than_0.16,2.68,1.23,Below_Range_Less_Than_0.04,0.06
S19S,S19S_0051_ANI-2,Below_Range_Less_Than_0.16,2.58,1.21,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0051_ANI-3,Below_Range_Less_Than_0.16,2.58,1.27,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0052_ANI-1,16.75,3.87,0.41,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0052_ANI-2,16.6,3.82,0.45,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0052_ANI-3,16.81,3.74,0.41,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0053_ANI-1,58.81,14.99,2.89,Below_Range_Less_Than_0.04,0.05
S19S,S19S_0053_ANI-2,59.25,15.19,2.99,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0053_ANI-3,59.8,15.47,2.93,Below_Range_Less_Than_0.04,0.05
S19S,S19S_0054_ANI-1,18.79,7.06,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.08
S19S,S19S_0054_ANI-2,18.83,6.81,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.1
S19S,S19S_0054_ANI-3,19.28,6.94,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.08
S19S,S19S_0055_ANI-1,79.08,38.73,3.63,Below_Range_Less_Than_0.04,0.39
S19S,S19S_0055_ANI-2,75.34,36.6,3.64,Below_Range_Less_Than_0.04,0.41
S19S,S19S_0055_ANI-3,69.51,33.87,3.09,Below_Range_Less_Than_0.04,0.35
S19S,S19S_0056_ANI-1,17.75,24.1,2.93,0.07,0.15
S19S,S19S_0056_ANI-2,16.8,23.31,2.9,0.06,0.15
S19S,S19S_0056_ANI-3,16.44,23.01,2.96,0.06,0.13
S19S,S19S_0057_ANI-1,1.31,0.39,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.03
S19S,S19S_0057_ANI-2,1.31,0.7,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0057_ANI-3,1.31,0.4,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.03
S19S,S19S_0058_ANI-1,14.32,15.74,7.05,Below_Range_Less_Than_0.04,0.09
S19S,S19S_0058_ANI-2,13.98,15.81,7.05,Below_Range_Less_Than_0.04,0.1
S19S,S19S_0058_ANI-3,14.26,15.97,6.89,Below_Range_Less_Than_0.04,0.09
S19S,S19S_0059_ANI-1,0.45,4.94,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.07
S19S,S19S_0059_ANI-2,0.46,3.69,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.07
S19S,S19S_0059_ANI-3,0.45,4.55,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.07
S19S,S19S_0060_ANI-1,8.63,16.44,5.69,Below_Range_Less_Than_0.04,0.15
S19S,S19S_0060_ANI-2,8.64,16.82,5.04,Below_Range_Less_Than_0.04,0.15
S19S,S19S_0060_ANI-3,8.58,16.18,5.05,Below_Range_Less_Than_0.04,0.14
S19S,S19S_0061_ANI-1,28.24,11.81,9.84,0.08,0.08
S19S,S19S_0061_ANI-2,27.15,11.34,9.46,0.08,0.09
S19S,S19S_0061_ANI-3,26.34,10.88,9.53,0.08,0.09
S19S,S19S_0062_ANI-1,0.9,13.78,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.11
S19S,S19S_0062_ANI-2,0.44,4.94,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.07
S19S,S19S_0062_ANI-3,0.87,13.59,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.11
S19S,S19S_0063_ANI-1,29.88,29.2,1.85,Below_Range_Less_Than_0.04,0.17
S19S,S19S_0063_ANI-2,28.28,27.58,1.75,Below_Range_Less_Than_0.04,0.18
S19S,S19S_0063_ANI-3,28.89,28.02,1.82,Below_Range_Less_Than_0.04,0.17
S19S,S19S_0064_ANI-1,6.73,16.86,5.07,0.06,0.05
S19S,S19S_0064_ANI-2,6.85,17.46,4.99,0.08,0.04
S19S,S19S_0064_ANI-3,6.71,16.5,4.92,0.05,0.06
S19S,S19S_0065_ANI-1,4.31,11.2,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.08
S19S,S19S_0065_ANI-2,4.28,10.91,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.08
S19S,S19S_0065_ANI-3,4.35,11.01,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.1
S19S,S19S_0066_ANI-1,3.85,21.56,0.69,Below_Range_Less_Than_0.04,0.24
S19S,S19S_0066_ANI-2,3.78,21.12,0.66,Below_Range_Less_Than_0.04,0.22
S19S,S19S_0067_ANI-1,12.15,15.3,6.71,Below_Range_Less_Than_0.04,0.08
S19S,S19S_0067_ANI-2,11.95,15.08,6.54,Below_Range_Less_Than_0.04,0.08
S19S,S19S_0067_ANI-3,11.25,14.08,6.69,Below_Range_Less_Than_0.04,0.08
S19S,S19S_0068_ANI-1,3.35,0.6,0.13,Below_Range_Less_Than_0.04,0.03
S19S,S19S_0068_ANI-2,3.33,0.58,0.15,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0068_ANI-3,3.37,0.58,0.15,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0069_ANI-1,15.02,10.24,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.09
S19S,S19S_0069_ANI-2,15.05,10.25,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.1
S19S,S19S_0069_ANI-3,14.93,10.15,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.1
S19S,S19S_0070_ANI-1,20.83,6.94,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.06
S19S,S19S_0070_ANI-2,20.76,7.19,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.07
S19S,S19S_0070_ANI-3,20.76,7.18,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.07
S19S,S19S_0071_ANI-1,0.46,3.7,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.09
S19S,S19S_0071_ANI-2,0.44,4.7,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.07
S19S,S19S_0071_ANI-3,0.48,3.65,Below_Range_Less_Than_0.12,Below_Range_Less_Than_0.04,0.08
S19S,S19S_0072_ANI-1,261.01,16.66,3.5,Below_Range_Less_Than_0.04,Below_Range_Less_Than_0.02
S19S,S19S_0072_ANI-2,295.29,19.04,3.31,Below_Range_Less_Than_0.04,0.07
S19S,S19S_0072_ANI-3,282.66,17.35,3.44,Below_Range_Less_Than_0.04,Below_Range_Less_Than_0.02
S19S,S19S_0073_ANI-1,95.35,2.95,0.55,Below_Range_Less_Than_0.04,0.03
S19S,S19S_0073_ANI-2,94.1,2.71,0.53,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0073_ANI-3,94.22,32.57,0.51,Below_Range_Less_Than_0.04,0.04
S19S,S19S_0074_ANI-1,1.27,10.12,0.43,Below_Range_Less_Than_0.04,0.09
S19S,S19S_0074_ANI-2,1.21,9.82,0.39,Below_Range_Less_Than_0.04,0.08
S19S,S19S_0074_ANI-3,1.25,9.86,0.39,Below_Range_Less_Than_0.04,0.08
