Study_code,Sample_ID,000681_NPOC_mg_per_L_as_C
WHONDRS_S19S,S19S_0040_ICR-3,0.81
WHONDRS_S19S,S19S_0041_ICR-1,3.2
WHONDRS_S19S,S19S_0041_ICR-2,2.85
WHONDRS_S19S,S19S_0041_ICR-3,5.42
WHONDRS_S19S,S19S_0042_ICR-1,15.06
WHONDRS_S19S,S19S_0042_ICR-2,12.17
WHONDRS_S19S,S19S_0042_ICR-3,12.99
WHONDRS_S19S,S19S_0043_ICR-1,1.76
WHONDRS_S19S,S19S_0043_ICR-2,1.84
WHONDRS_S19S,S19S_0043_ICR-3,1.57
WHONDRS_S19S,S19S_0044_ICR-1,13.43
WHONDRS_S19S,S19S_0044_ICR-2,12.83
WHONDRS_S19S,S19S_0044_ICR-3,13.02
WHONDRS_S19S,S19S_0045_ICR-1,8.39
WHONDRS_S19S,S19S_0045_ICR-2,6.37
WHONDRS_S19S,S19S_0045_ICR-3,7.48
WHONDRS_S19S,S19S_0046_ICR-1,Below_Range_Less_Than_0.45
WHONDRS_S19S,S19S_0046_ICR-2,Below_Range_Less_Than_0.45
WHONDRS_S19S,S19S_0046_ICR-3,Below_Range_Less_Than_0.45
WHONDRS_S19S,S19S_0047_ICR-1,4.07
WHONDRS_S19S,S19S_0047_ICR-2,3.75
WHONDRS_S19S,S19S_0047_ICR-3,4.56
WHONDRS_S19S,S19S_0048_ICR-1,0.68
WHONDRS_S19S,S19S_0048_ICR-2,Below_Range_Less_Than_0.45
WHONDRS_S19S,S19S_0048_ICR-3,0.48
WHONDRS_S19S,S19S_0049_ICR-1,0.66
WHONDRS_S19S,S19S_0049_ICR-2,0.75
WHONDRS_S19S,S19S_0049_ICR-3,1.2
WHONDRS_S19S,S19S_0050_ICR-1,4.45
WHONDRS_S19S,S19S_0050_ICR-2,5.13
WHONDRS_S19S,S19S_0050_ICR-3,4.18
WHONDRS_S19S,S19S_0051_ICR-1,7.52
WHONDRS_S19S,S19S_0051_ICR-2,9.69
WHONDRS_S19S,S19S_0051_ICR-3,7.62
WHONDRS_S19S,S19S_0052_ICR-1,1.56
WHONDRS_S19S,S19S_0052_ICR-2,1.4
WHONDRS_S19S,S19S_0052_ICR-3,1.35
WHONDRS_S19S,S19S_0053_ICR-1,3.06
WHONDRS_S19S,S19S_0053_ICR-2,2.21
WHONDRS_S19S,S19S_0053_ICR-3,2.3
WHONDRS_S19S,S19S_0054_ICR-1,5.4
WHONDRS_S19S,S19S_0054_ICR-2,3.61
WHONDRS_S19S,S19S_0054_ICR-3,3.88
WHONDRS_S19S,S19S_0055_ICR-1,3.58
WHONDRS_S19S,S19S_0055_ICR-2,2.44
WHONDRS_S19S,S19S_0055_ICR-3,2.1
WHONDRS_S19S,S19S_0056_ICR-1,3.32
WHONDRS_S19S,S19S_0056_ICR-2,4.19
WHONDRS_S19S,S19S_0056_ICR-3,47.6
WHONDRS_S19S,S19S_0057_ICR-1,4.13
WHONDRS_S19S,S19S_0057_ICR-2,4.05
WHONDRS_S19S,S19S_0057_ICR-3,0.56
WHONDRS_S19S,S19S_0058_ICR-1,0.73
WHONDRS_S19S,S19S_0058_ICR-2,0.66
WHONDRS_S19S,S19S_0058_ICR-3,0.74
WHONDRS_S19S,S19S_0059_ICR-1,1.51
WHONDRS_S19S,S19S_0059_ICR-2,1.42
WHONDRS_S19S,S19S_0059_ICR-3,1.55
WHONDRS_S19S,S19S_0060_ICR-1,1.48
WHONDRS_S19S,S19S_0060_ICR-2,1.26
WHONDRS_S19S,S19S_0060_ICR-3,1.46
WHONDRS_S19S,S19S_0061_ICR-1,3
WHONDRS_S19S,S19S_0061_ICR-2,2.35
WHONDRS_S19S,S19S_0061_ICR-3,2.59
WHONDRS_S19S,S19S_0062_ICR-1,1.4
WHONDRS_S19S,S19S_0062_ICR-2,1.86
WHONDRS_S19S,S19S_0062_ICR-3,1.84
WHONDRS_S19S,S19S_0063_ICR-1,2.18
WHONDRS_S19S,S19S_0063_ICR-2,1.9
WHONDRS_S19S,S19S_0063_ICR-3,2.15
WHONDRS_S19S,S19S_0064_ICR-1,1.34
WHONDRS_S19S,S19S_0064_ICR-2,1.18
WHONDRS_S19S,S19S_0064_ICR-3,1.52
WHONDRS_S19S,S19S_0065_ICR-1,1.77
WHONDRS_S19S,S19S_0065_ICR-2,1.79
WHONDRS_S19S,S19S_0065_ICR-3,1.84
WHONDRS_S19S,S19S_0066_ICR-1,2.07
WHONDRS_S19S,S19S_0066_ICR-2,3.07
WHONDRS_S19S,S19S_0067_ICR-1,1.77
WHONDRS_S19S,S19S_0067_ICR-2,2.07
WHONDRS_S19S,S19S_0067_ICR-3,2.7
WHONDRS_S19S,S19S_0068_ICR-1,0.66
WHONDRS_S19S,S19S_0068_ICR-2,0.69
WHONDRS_S19S,S19S_0068_ICR-3,0.71
WHONDRS_S19S,S19S_0069_ICR-1,0.59
WHONDRS_S19S,S19S_0069_ICR-2,0.68
WHONDRS_S19S,S19S_0069_ICR-3,0.69
