Study_Code,Sample_ID,del_2H_permil,2H_standev_permil,del_18O_permil,18O_standev_permil,n_injections,Date_Run
WHONDRS_S19S,S19S_0068_ISO-1,-73.1,0.3,-10.86,0.1,4,3-Dec-19
WHONDRS_S19S,S19S_0069_ISO-1,-36.1,0.3,-5.86,0.11,4,3-Dec-19
WHONDRS_S19S,S19S_0070_ISO-1,-38.1,0.3,-6.21,0.08,4,21-Nov-19
WHONDRS_S19S,S19S_0071_ISO-2,-121.4,0.9,-16.7,0.19,4,3-Dec-19
WHONDRS_S19S,S19S_0072_ISO-1,-53.9,0.9,-8.33,0.08,4,21-Nov-19
WHONDRS_S19S,S19S_0073_ISO-1,-42.2,1.9,-6.18,0.2,4,20-Nov-19
WHONDRS_S19S,S19S_0074_ISO-1,-124.4,0.5,-16.04,0.08,4,21-Nov-19
WHONDRS_S19S,S19S_0075_ISO-1,-130.6,0.6,-17.32,0.13,4,3-Dec-19
WHONDRS_S19S,S19S_0076_ISO-1,-128.5,0.9,-16.96,0.22,4,20-Nov-19
WHONDRS_S19S,S19S_0077_ISO-1,-122.2,0.6,-16.69,0.04,4,21-Nov-19
WHONDRS_S19S,S19S_0078_ISO-1,-57.6,1.1,-7.86,0.16,4,20-Nov-19
WHONDRS_S19S,S19S_0079_ISO-1,-87,0.4,-11.88,0.1,4,22-Nov-19
WHONDRS_S19S,S19S_0080_ISO-1,-92.9,0.6,-12.64,0.05,4,20-Nov-19
WHONDRS_S19S,S19S_0081_ISO-1,-34.1,0.9,-5.6,0.21,4,3-Dec-19
WHONDRS_S19S,S19S_0082_ISO-1,-32.4,1.7,-4.9,0.28,4,20-Nov-19
WHONDRS_S19S,S19S_0084_ISO-1,-57.5,0.4,-9.24,0.13,4,21-Nov-19
WHONDRS_S19S,S19S_0085_ISO-1,-121.1,1.1,-15.83,0.14,4,20-Nov-19
WHONDRS_S19S,S19S_0086_ISO-1,-123,0.8,-16.61,0.18,4,3-Dec-19
WHONDRS_S19S,S19S_0087_ISO-1,-112.2,0.6,-14.54,0.2,4,20-Nov-19
WHONDRS_S19S,S19S_0089_ISO-1,-34.4,0.7,-5.38,0.16,4,3-Dec-19
WHONDRS_S19S,S19S_0090_ISO-1,-33.8,1.3,-5.46,0.3,4,3-Dec-19
WHONDRS_S19S,S19S_0093_ISO-1,-44.5,0.4,-6.64,0.08,4,3-Dec-19
WHONDRS_S19S,S19S_0094_ISO-1,-3.8,1.6,-2.14,0.32,4,3-Dec-19
WHONDRS_S19S,S19S_0098_ISO-1,-124.5,1.2,-16.76,0.17,4,3-Dec-19
WHONDRS_S19S,S19S_0099_ISO-1,-122.8,0.5,-16.08,0.09,4,3-Dec-19
WHONDRS_S19S,S19S_0100_ISO-1,-43.3,1.2,-6.53,0.25,4,3-Dec-19
