Sample_ID,slope_of_the_regression,rate_mg_per_L_per_min,rate_mg_per_L_per_h,R_squared,R_squared_adj,p_value,total_incubation_time_min
S19S_0021_SED_INC-M,-0.12,0.12,7.3,1,NA,NA,23
S19S_0022_SED_INC-M,0,0,0.28,0.836,0.795,0.001,120
S19S_0023_SED_INC-M,-0.12,0.12,7.24,0.99,0.98,0.012,30
S19S_0025_SED_INC-M,-0.33,0.33,19.89,1,NA,NA,14
S19S_0026_SED_INC-M,-0.02,0.02,1.07,0.9,0.874,0.003,110
S19S_0027_SED_INC-M,-0.01,0.01,0.84,0.992,0.991,0.001,110
S19S_0028_SED_INC-M,-0.18,0.18,10.69,1,NA,NA,16
S19S_0029_SED_INC-M,-0.66,0.66,39.84,1,NA,NA,5
S19S_0031_SED_INC-M,-0.01,0.01,0.33,0.975,0.969,0.0004,107
S19S_0032_SED_INC-M,-0.02,0.02,1.14,0.992,0.991,0.001,114
S19S_0033_SED_INC-M,-0.01,0.01,0.55,0.984,0.98,0.001,113
S19S_0034_SED_INC-M,-0.04,0.04,2.53,0.998,0.997,0.001,70
S19S_0035_SED_INC-M,-0.04,0.04,2.5,0.975,0.967,0.004,55
S19S_0036_SED_INC-M,-0.03,0.03,1.55,0.988,0.986,0.001,113
S19S_0037_SED_INC-M,-0.08,0.08,4.51,0.989,0.984,0.006,43
S19S_0038_SED_INC-M,-0.02,0.02,1.12,0.988,0.986,0.001,110
S19S_0039_SED_INC-M,-0.06,0.06,3.7,0.983,0.975,0.006,41
S19S_0040_SED_INC-M,-0.35,0.35,20.8,1,NA,NA,15
S19S_0041_SED_INC-M,-0.47,0.47,28.35,1,NA,NA,8
S19S_0042_SED_INC-M,-0.16,0.16,9.88,0.99,0.979,0.017,28
S19S_0043_SED_INC-M,-0.17,0.17,10.08,1,NA,NA,15
S19S_0050_SED_INC-M,-0.04,0.04,2.54,0.996,0.995,0.001,74
S19S_0051_SED_INC-M,-0.27,0.27,16.33,1,NA,NA,14
S19S_0052_SED_INC-M,-0.28,0.28,16.51,1,NA,NA,21
S19S_0053_SED_INC-M,-0.23,0.23,13.52,1,NA,NA,15
S19S_0059_SED_INC-M,-0.25,0.25,15,1,NA,NA,10
S19S_0060_SED_INC-M,-0.03,0.03,1.84,0.988,0.984,0.002,113
S19S_0062_SED_INC-M,-0.11,0.11,6.32,1,NA,NA,40
S19S_0063_SED_INC-M,-0.01,0.01,0.64,0.983,0.979,0.001,113
S19S_0064_SED_INC-M,-0.35,0.35,21.19,1,NA,NA,16
S19S_0069_SED_INC-M,-0.01,0.01,0.32,0.894,0.877,0.001,115
S19S_0070_SED_INC-M,-0.01,0.01,0.53,0.921,0.901,0.001,104
S19S_0071_SED_INC-M,-0.42,0.42,25.2,1,NA,NA,14
S19S_0072_SED_INC-M,-0.02,0.02,1.1,0.969,0.964,0.001,114
S19S_0073_SED_INC-M,-0.41,0.41,24.44,1,NA,NA,15
S19S_0074_SED_INC-M,-0.02,0.02,1,0.784,0.741,0.004,116
S19S_0075_SED_INC-M,0,0,0.24,0.333,0.166,0.003,118
S19S_0076_SED_INC-M,-0.07,0.07,3.91,0.986,0.979,0.005,40
S19S_0077_SED_INC-M,-0.02,0.02,1.23,0.997,0.996,0.001,120
S19S_0080_SED_INC-M,-0.11,0.11,6.42,0.994,0.989,0.008,26
S19S_0082_SED_INC-M,-0.16,0.16,9.65,1,NA,NA,25
S19S_0083_SED_INC-M,-0.12,0.12,7.29,0.984,0.967,0.016,28
S19S_0084_SED_INC-M,-0.02,0.02,1.33,0.99,0.987,0.001,110
S19S_0085_SED_INC-M,-0.04,0.04,2.35,0.999,0.999,0.001,71
S19S_0086_SED_INC-M,-0.02,0.02,0.93,0.992,0.991,0.001,120
S19S_0087_SED_INC-M,-0.19,0.19,11.56,1,NA,NA,15
S19S_0090_SED_INC-M,-0.02,0.02,1.19,0.999,0.999,0.0002,122
S19S_0097_SED_INC-M,-0.15,0.15,8.77,0.948,0.896,0.034,31
S19S_0098_SED_INC-M,-0.09,0.09,5.3,0.964,0.928,0.017,35
S19S_0099_SED_INC-M,-0.05,0.05,2.77,0.993,0.989,0.003,55
S19S_0007_SED_INC-D,-0.06,0.06,3.32,0.999,0.997,0.002,32
S19S_0008_SED_INC-D,-0.04,0.04,2.39,0.995,0.993,0.002,83
S19S_0009_SED_INC-D,-0.2,0.2,12,1,NA,NA,13
S19S_0010_SED_INC-D,-0.01,0.01,0.55,0.881,0.852,0.002,123
S19S_0100_SED_INC-D,-0.2,0.2,12.08,1,NA,NA,15
S19S_0011_SED_INC-D,-1.36,1.36,81.75,1,NA,NA,4
S19S_0012_SED_INC-D,-0.01,0.01,0.83,0.621,0.527,0.005,99
S19S_0015_SED_INC-D,-0.07,0.07,4.22,1,1,0.001,60
S19S_0016_SED_INC-D,-0.05,0.05,2.82,0.981,0.974,0.004,78
S19S_0017_SED_INC-D,-0.25,0.25,15.05,1,NA,NA,13
S19S_0018_SED_INC-D,-0.02,0.02,1.47,0.364,0.274,0.012,117
S19S_0019_SED_INC-D,-0.02,0.02,1.43,0.995,0.994,0.001,129
S19S_0020_SED_INC-D,-0.02,0.02,1.48,0.934,0.918,0.003,108
S19S_0022_SED_INC-D,0,0,0.25,0.91,0.887,0.001,122
S19S_0023_SED_INC-D,-0.19,0.19,11.32,1,NA,NA,15
S19S_0025_SED_INC-D,-0.25,0.25,14.86,1,NA,NA,13
S19S_0026_SED_INC-D,-0.11,0.11,6.4,0.98,0.96,0.015,27
S19S_0027_SED_INC-D,-0.01,0.01,0.41,0.807,0.769,0.001,108
S19S_0028_SED_INC-D,-0.05,0.05,3.15,0.994,0.992,0.002,53
S19S_0029_SED_INC-D,-0.45,0.45,26.7,1,NA,NA,4
S19S_0031_SED_INC-D,-0.01,0.01,0.59,0.992,0.989,0.0005,102
S19S_0032_SED_INC-D,-0.08,0.08,4.62,0.998,0.996,0.003,28
S19S_0033_SED_INC-D,-0.01,0.01,0.67,0.987,0.983,0.001,114
S19S_0034_SED_INC-D,-0.63,0.63,37.92,1,NA,NA,5
S19S_0035_SED_INC-D,-0.06,0.06,3.81,0.974,0.961,0.007,55
S19S_0036_SED_INC-D,-0.23,0.23,13.76,1,NA,NA,14
S19S_0037_SED_INC-D,-0.04,0.04,2.37,0.978,0.97,0.003,75
S19S_0038_SED_INC-D,-0.04,0.04,2.24,0.985,0.981,0.003,71
S19S_0039_SED_INC-D,-0.7,0.7,41.85,1,NA,NA,4
S19S_0040_SED_INC-D,-0.15,0.15,9.16,0.999,0.999,0.003,23
S19S_0041_SED_INC-D,-0.02,0.02,1.5,0.987,0.985,0.001,110
S19S_0042_SED_INC-D,-0.1,0.1,6.27,0.927,0.854,0.029,26
S19S_0043_SED_INC-D,-0.12,0.12,6.92,0.996,0.995,0.004,56
S19S_0047_SED_INC-D,-0.18,0.18,11.03,1,NA,NA,18
S19S_0050_SED_INC-D,-0.01,0.01,0.88,0.988,0.985,0.001,99
S19S_0051_SED_INC-D,-0.02,0.02,0.94,0.993,0.991,0.001,108
S19S_0052_SED_INC-D,-0.08,0.08,4.71,0.999,0.997,0.003,39
S19S_0053_SED_INC-D,-0.1,0.1,6.05,0.918,0.837,0.03,30
S19S_0060_SED_INC-D,-0.09,0.09,5.24,0.964,0.946,0.012,46
S19S_0062_SED_INC-D,0,0,0.1,0.619,0.429,0.001,649
S19S_0063_SED_INC-D,-0.01,0.01,0.39,0.876,0.855,0.001,122
S19S_0064_SED_INC-D,-0.38,0.38,22.97,1,NA,NA,7
