sample,total.transformations
Sample_S19S_0027_Sed_Field_ICR.M_p2,32676
Sample_S19S_0027_Sed_Field_ICR.U_p2,30197
Sample_S19S_0028_ICR.1_p05,25916
Sample_S19S_0028_ICR.2_p05,35180
Sample_S19S_0028_ICR.3_p05,35475
Sample_S19S_0028_Sed_Field_ICR.D_p2,22899
Sample_S19S_0029_ICR.2_p05,36569
Sample_S19S_0029_ICR.3_p05,36208
Sample_S19S_0029_Sed_Field_ICR.D_p2,29286
Sample_S19S_0029_Sed_Field_ICR.M_p2,31430
Sample_S19S_0029_Sed_Field_ICR.U_p2,32056
Sample_S19S_0030_ICR.1_p05,27992
Sample_S19S_0030_ICR.3_p05,25208
Sample_S19S_0030_Sed_Field_ICR.M_p15,12016
Sample_S19S_0030_Sed_Field_ICR.U_p2,34710
Sample_S19S_0031_ICR.1_p05,29441
Sample_S19S_0031_ICR.2_p05,18498
Sample_S19S_0031_ICR.3_p05,22118
Sample_S19S_0031_Sed_Field_ICR.D_p2,29323
Sample_S19S_0031_Sed_Field_ICR.M_p2,33305
Sample_S19S_0031_Sed_Field_ICR.U_p2,30907
Sample_S19S_0032_ICR.1_p05,41518
Sample_S19S_0032_ICR.2_p05,45964
Sample_S19S_0032_ICR.3_p05,48564
Sample_S19S_0032_Sed_Field_ICR.D_p2,28256
Sample_S19S_0032_Sed_Field_ICR.M_p2,36868
Sample_S19S_0032_Sed_Field_ICR.U_p2,37042
Sample_S19S_0033_ICR.2_p05,38101
Sample_S19S_0033_ICR.3_p05,41313
Sample_S19S_0033_Sed_Field_ICR.M_p15,38004
Sample_S19S_0033_Sed_Field_ICR.U_p15,31553
Sample_S19S_0034_ICR.1_p05,40772
Sample_S19S_0034_ICR.2_p05,31435
Sample_S19S_0034_ICR.3_p05,37549
Sample_S19S_0034_Sed_Field_ICR.D_p2,36169
Sample_S19S_0034_Sed_Field_ICR.M_p2,19293
Sample_S19S_0034_Sed_Field_ICR.U_p2,27980
Sample_S19S_0035_ICR.1_p05,42744
Sample_S19S_0035_ICR.2_p05,40195
Sample_S19S_0035_ICR.3_p05,41920
Sample_S19S_0035_Sed_Field_ICR.M_p1,51639
Sample_S19S_0035_Sed_Field_ICR.U_p2,31678
Sample_S19S_0036_ICR.1_p05,50052
Sample_S19S_0036_ICR.2_p05,38226
Sample_S19S_0036_ICR.3_p05,45318
Sample_S19S_0036_Sed_Field_ICR.D_p1,18042
Sample_S19S_0036_Sed_Field_ICR.M_p2,31748
Sample_S19S_0036_Sed_Field_ICR.U_p2,23726
Sample_S19S_0037_ICR.1_p05,36453
Sample_S19S_0037_ICR.2_p05,55698
Sample_S19S_0037_Sed_Field_ICR.D_p15,33316
Sample_S19S_0037_Sed_Field_ICR.U_p2,26627
Sample_S19S_0038_ICR.1_p05,36931
Sample_S19S_0038_ICR.2_p05,15762
Sample_S19S_0038_ICR.3_p05,46424
Sample_S19S_0038_Sed_Field_ICR.D_p2,27480
Sample_S19S_0038_Sed_Field_ICR.M_p2,24157
Sample_S19S_0038_Sed_Field_ICR.U_p15,28480
Sample_S19S_0039_ICR.1_p05,74578
Sample_S19S_0039_ICR.2_p05,66850
Sample_S19S_0039_ICR.3_p05,72976
Sample_S19S_0039_Sed_Field_ICR.D_p2,36276
Sample_S19S_0039_Sed_Field_ICR.M_p1,38918
Sample_S19S_0039_Sed_Field_ICR.U_p2,33716
Sample_S19S_0040_ICR.2_p05,41924
Sample_S19S_0040_ICR.3_p05,40699
Sample_S19S_0040_Sed_Field_ICR.M_p15,19096
Sample_S19S_0040_Sed_Field_ICR.U_p2,33160
Sample_S19S_0041_ICR.1_p05,37405
Sample_S19S_0041_ICR.2_p05,37506
Sample_S19S_0041_ICR.3_p05,43521
Sample_S19S_0041_Sed_Field_ICR.D_p2,33192
Sample_S19S_0041_Sed_Field_ICR.M_p2,25821
Sample_S19S_0041_Sed_Field_ICR.U_p2,33017
Sample_S19S_0042_ICR.1_p05,52869
Sample_S19S_0042_ICR.2_p05,54998
Sample_S19S_0042_ICR.3_p05,42143
Sample_S19S_0042_Sed_Field_ICR.D_p2,34534
Sample_S19S_0042_Sed_Field_ICR.M_p2,30910
Sample_S19S_0042_Sed_Field_ICR.U_p2,36113
Sample_S19S_0043_ICR.1_p05,48893
Sample_S19S_0043_ICR.2_p05,52223
Sample_S19S_0043_ICR.3_p05,48312
Sample_S19S_0043_Sed_Field_ICR.D_p2,29979
Sample_S19S_0043_Sed_Field_ICR.M_p2,37788
Sample_S19S_0043_Sed_Field_ICR.U_p2,41354
Sample_S19S_0044_ICR.1_p05,47749
Sample_S19S_0044_ICR.2_p05,41853
Sample_S19S_0044_ICR.3_p05,43732
Sample_S19S_0044_Sed_Field_ICR.D_p2,30070
Sample_S19S_0044_Sed_Field_ICR.M_p15,48527
Sample_S19S_0044_Sed_Field_ICR.U_p2,38705
Sample_S19S_0045_ICR.1_p05,62530
Sample_S19S_0045_ICR.2_p05,53707
Sample_S19S_0045_ICR.3_p05,50050
Sample_S19S_0045_Sed_Field_ICR.M_p2,14583
Sample_S19S_0046_Sed_Field_ICR.D_p1,27060
Sample_S19S_0047_ICR.1_p05,44362
Sample_S19S_0047_ICR.2_p05,40005
Sample_S19S_0047_ICR.3_p05,46090
Sample_S19S_0047_Sed_Field_ICR.D_p15,23791
Sample_S19S_0048_ICR.1_p05,18107
Sample_S19S_0048_ICR.2_p05,5726
Sample_S19S_0048_ICR.3_p05,34376
Sample_S19S_0049_ICR.1_p05,48496
Sample_S19S_0049_ICR.2_p05,14843
Sample_S19S_0049_ICR.3_p05,36787
Sample_S19S_0049_Sed_Field_ICR.D_p2,32351
Sample_S19S_0049_Sed_Field_ICR.M_p2,25719
Sample_S19S_0049_Sed_Field_ICR.U_p2,33113
Sample_S19S_0050_ICR.1_p05,43196
Sample_S19S_0050_ICR.2_p05,44272
Sample_S19S_0050_ICR.3_p05,41482
Sample_S19S_0050_Sed_Field_ICR.D_p15,18718
Sample_S19S_0050_Sed_Field_ICR.M_p15,19628
Sample_S19S_0050_Sed_Field_ICR.U_p15,34781
Sample_S19S_0051_ICR.1_p05,45847
Sample_S19S_0051_ICR.2_p05,44784
Sample_S19S_0051_ICR.3_p05,37315
Sample_S19S_0051_Sed_Field_ICR.M_p15,20043
Sample_S19S_0051_Sed_Field_ICR.U_p15,14471
Sample_S19S_0052_ICR.1_p05,46252
Sample_S19S_0052_ICR.2_p05,34055
Sample_S19S_0052_ICR.3_p05,46186
Sample_S19S_0052_Sed_Field_ICR.D_p2,24089
Sample_S19S_0052_Sed_Field_ICR.M_p2,27414
Sample_S19S_0052_Sed_Field_ICR.U_p2,28298
Sample_S19S_0053_ICR.1_p05,62583
Sample_S19S_0053_ICR.2_p05,59931
Sample_S19S_0053_ICR.3_p05,57404
Sample_S19S_0053_Sed_Field_ICR.D_p2,34004
Sample_S19S_0053_Sed_Field_ICR.M_p2,28005
Sample_S19S_0053_Sed_Field_ICR.U_p2,33973
Sample_S19S_0054_ICR.1_p05,54343
Sample_S19S_0054_ICR.2_p05,48905
Sample_S19S_0054_ICR.3_p05,37297
Sample_S19S_0054_Sed_Field_ICR.D_p2,41893
Sample_S19S_0054_Sed_Field_ICR.M_p2,39786
Sample_S19S_0054_Sed_Field_ICR.U_p2,40447
Sample_S19S_0055_ICR.1_p05,60092
Sample_S19S_0055_ICR.2_p05,58017
Sample_S19S_0055_ICR.3_p05,64508
Sample_S19S_0055_Sed_Field_ICR.D_p2,24261
Sample_S19S_0055_Sed_Field_ICR.M_p2,24861
Sample_S19S_0055_Sed_Field_ICR.U_p2,24173
Sample_S19S_0056_ICR.1_p05,40873
Sample_S19S_0056_ICR.2_p05,63505
Sample_S19S_0056_Sed_Field_ICR.D_p2,38857
Sample_S19S_0056_Sed_Field_ICR.M_p2,36451
Sample_S19S_0056_Sed_Field_ICR.U_p2,43623
Sample_S19S_0057_ICR.1_p05,51491
Sample_S19S_0057_ICR.2_p05,51711
Sample_S19S_0057_ICR.3_p05,45019
Sample_S19S_0057_Sed_Field_ICR.D_p2,29775
Sample_S19S_0057_Sed_Field_ICR.M_p2,27325
Sample_S19S_0057_Sed_Field_ICR.U_p2,24147
Sample_S19S_0058_ICR.1_p05,31065
Sample_S19S_0058_ICR.2_p05,28844
Sample_S19S_0058_ICR.3_p05,34295
Sample_S19S_0058_Sed_Field_ICR.D_p2,36394
Sample_S19S_0058_Sed_Field_ICR.U_p2,42801
Sample_S19S_0059_ICR.1_p05,44840
Sample_S19S_0059_ICR.2_p05,46130
Sample_S19S_0059_ICR.3_p05,44535
Sample_S19S_0059_Sed_Field_ICR.D_p15,13631
Sample_S19S_0059_Sed_Field_ICR.M_p15,28088
Sample_S19S_0059_Sed_Field_ICR.U_p15,10171
Sample_S19S_0060_ICR.1_p05,52815
Sample_S19S_0060_ICR.2_p05,47152
Sample_S19S_0060_ICR.3_p05,38666
Sample_S19S_0060_Sed_Field_ICR.D_p2,27816
Sample_S19S_0060_Sed_Field_ICR.M_p2,30336
Sample_S19S_0060_Sed_Field_ICR.U_p2,30282
Sample_S19S_0061_ICR.1_p05,59803
Sample_S19S_0061_ICR.2_p05,49173
Sample_S19S_0061_ICR.3_p05,54167
Sample_S19S_0061_Sed_Field_ICR.D_p2,33780
Sample_S19S_0061_Sed_Field_ICR.M_p2,39499
Sample_S19S_0061_Sed_Field_ICR.U_p15,6567
Sample_S19S_0062_ICR.1_p05,50946
Sample_S19S_0062_ICR.2_p05,49426
Sample_S19S_0062_ICR.3_p05,44118
Sample_S19S_0062_Sed_Field_ICR.D_p15,40056
Sample_S19S_0062_Sed_Field_ICR.M_p15,37528
Sample_S19S_0062_Sed_Field_ICR.U_p15,46813
Sample_S19S_0063_ICR.1_p05,57791
Sample_S19S_0063_ICR.2_p05,55823
Sample_S19S_0063_ICR.3_p05,58350
Sample_S19S_0063_Sed_Field_ICR.D_p15,13008
Sample_S19S_0063_Sed_Field_ICR.M_p2,32680
Sample_S19S_0063_Sed_Field_ICR.U_p2,25411
Sample_S19S_0064_ICR.1_p05,38188
Sample_S19S_0064_ICR.2_p05,49546
Sample_S19S_0064_ICR.3_p05,48302
Sample_S19S_0064_Sed_Field_ICR.D_p2,31917
Sample_S19S_0064_Sed_Field_ICR.M_p2,33226
Sample_S19S_0064_Sed_Field_ICR.U_p15,14487
Sample_S19S_0065_ICR.1_p05,47181
Sample_S19S_0065_ICR.2_p05,43753
Sample_S19S_0065_ICR.3_p05,50100
Sample_S19S_0065_Sed_Field_ICR.D_p2,41873
Sample_S19S_0065_Sed_Field_ICR.M_p2,34341
Sample_S19S_0065_Sed_Field_ICR.U_p2,33351
Sample_S19S_0066_ICR.1_p05,52299
Sample_S19S_0066_ICR.2_p05,49372
Sample_S19S_0066_Sed_Field_ICR.D_p2,35435
Sample_S19S_0066_Sed_Field_ICR.M_p2,35227
Sample_S19S_0066_Sed_Field_ICR.U_p2,39696
Sample_S19S_0067_ICR.1_p05,47263
Sample_S19S_0067_ICR.2_p05,48959
Sample_S19S_0067_ICR.3_p05,54405
Sample_S19S_0067_Sed_Field_ICR.D_p2,21953
Sample_S19S_0067_Sed_Field_ICR.M_p2,31678
Sample_S19S_0068_ICR.1_p05,33797
Sample_S19S_0068_ICR.2_p05,37443
Sample_S19S_0068_ICR.3_p05,10879
Sample_S19S_0068_Sed_Field_ICR.M_p2,39472
Sample_S19S_0068_Sed_Field_ICR.U_p2,26012
Sample_S19S_0069_ICR.1_p05,25871
