sample,Dist,peak.x,peak.y,Dist.plus,Dist.minus,Trans.name
SED_S19S-0057,0.0363801851929964,200.092796017419,200.056415832226,0.0363901851929964,0.0363701851929963,CH4_O
SED_S19S-0057,0.984015432906006,201.040431265132,200.056415832226,0.984025432906006,0.984005432906006,H_1O1N_1
SED_S19S-0057,0.947635247713009,201.040431265132,200.092796017419,0.947645247713009,0.947625247713009,C_1H_5N_1O2
SED_S19S-0057,0.984016213684981,201.076812231104,200.092796017419,0.984026213684981,0.984006213684981,H_1O1N_1
SED_S19S-0057,0.036380965971972,201.076812231104,201.040431265132,0.036390965971972,0.036370965971972,CH4_O
SED_S19S-0057,1.03162595386598,201.088041786092,200.056415832226,1.03163595386598,1.03161595386598,H3O_1N1
SED_S19S-0057,0.995245768672987,201.088041786092,200.092796017419,0.995255768672987,0.995235768672987,C_1H_1N1
SED_S19S-0057,0.03638471314801,201.113196944252,201.076812231104,0.03639471314801,0.0363747131480099,CH4_O
SED_S19S-0057,0.0363761049190146,201.124417891011,201.088041786092,0.0363861049190146,0.0363661049190145,CH4_O
SED_S19S-0057,0.0363812677070143,201.149578211959,201.113196944252,0.0363912677070143,0.0363712677070143,CH4_O
SED_S19S-0057,2.01564095320299,202.072056785429,200.056415832226,2.01565095320299,2.01563095320299,H2
SED_S19S-0057,1.97926076800999,202.072056785429,200.092796017419,1.97927076800999,1.97925076800999,C_1H_2O1
SED_S19S-0057,1.03162552029698,202.072056785429,201.040431265132,1.03163552029698,1.03161552029698,H3O_1N1
SED_S19S-0057,0.995244554325012,202.072056785429,201.076812231104,0.995254554325012,0.995234554325012,C_1H_1N1
SED_S19S-0057,0.984014999337006,202.072056785429,201.088041786092,0.984024999337006,0.984004999337006,H_1O1N_1
SED_S19S-0057,0.947638894417992,202.072056785429,201.124417891011,0.947648894417992,0.947628894417992,C_1H_5N_1O2
SED_S19S-0057,2.01564256290999,202.108438580329,200.092796017419,2.01565256290999,2.01563256290999,H2
SED_S19S-0057,1.03162634922501,202.108438580329,201.076812231104,1.03163634922501,1.03161634922501,H3O_1N1
SED_S19S-0057,0.995241636076997,202.108438580329,201.113196944252,0.995251636076997,0.995231636076997,C_1H_1N1
SED_S19S-0057,0.984020689317987,202.108438580329,201.124417891011,0.984030689317987,0.984010689317987,H_1O1N_1
SED_S19S-0057,0.0363817948999952,202.108438580329,202.072056785429,0.0363917948999952,0.0363717948999952,CH4_O
SED_S19S-0057,2.99967224162899,203.056088073855,200.056415832226,2.99968224162899,2.99966224162899,H1O1N_1
SED_S19S-0057,2.01565680872298,203.056088073855,201.040431265132,2.01566680872298,2.01564680872298,H2
SED_S19S-0057,2.999657570838,203.092453588257,200.092796017419,2.999667570838,2.999647570838,H1O1N_1
SED_S19S-0057,2.01564135715302,203.092453588257,201.076812231104,2.01565135715302,2.01563135715302,H2
SED_S19S-0057,1.97925664400501,203.092453588257,201.113196944252,1.97926664400501,1.97924664400501,C_1H_2O1
SED_S19S-0057,1.96803569724599,203.092453588257,201.124417891011,1.96804569724599,1.96802569724599,H_2N_2O2
SED_S19S-0057,0.984015007928008,203.092453588257,202.108438580329,0.984025007928008,0.984005007928008,H_1O1N_1
SED_S19S-0057,2.01564502700401,203.103686813096,201.088041786092,2.01565502700401,2.01563502700401,H2
SED_S19S-0057,1.979268922085,203.103686813096,201.124417891011,1.979278922085,1.979258922085,C_1H_2O1
SED_S19S-0057,1.03163002766701,203.103686813096,202.072056785429,1.03164002766701,1.03162002766701,H3O_1N1
SED_S19S-0057,0.995248232767011,203.103686813096,202.108438580329,0.995258232767011,0.995238232767011,C_1H_1N1
SED_S19S-0057,2.05202560156903,203.128837832673,201.076812231104,2.05203560156903,2.05201560156903,CH6O_1
SED_S19S-0057,2.01564088842102,203.128837832673,201.113196944252,2.01565088842102,2.01563088842102,H2
SED_S19S-0057,1.979259620714,203.128837832673,201.149578211959,1.979269620714,1.979249620714,C_1H_2O1
SED_S19S-0057,0.0363842444160127,203.128837832673,203.092453588257,0.0363942444160127,0.0363742444160127,CH4_O
SED_S19S-0057,0.947630193432019,205.014218786201,204.066588592769,0.947640193432019,0.947620193432019,C_1H_5N_1O2
SED_S19S-0057,0.984006154350993,205.05059474712,204.066588592769,0.984016154350993,0.983996154350993,H_1O1N_1
SED_S19S-0057,0.0363759609189742,205.05059474712,205.014218786201,0.0363859609189742,0.0363659609189742,CH4_O
SED_S19S-0057,5.01531306568,205.071728897906,200.056415832226,5.01532306568,5.01530306568,H3N_1O1
SED_S19S-0057,4.031297632774,205.071728897906,201.040431265132,4.031307632774,4.031287632774,H4
SED_S19S-0057,3.99491666680203,205.071728897906,201.076812231104,3.99492666680203,3.99490666680203,C_1O1
SED_S19S-0057,2.99967211247701,205.071728897906,202.072056785429,2.99968211247701,2.99966211247701,H1O1N_1
SED_S19S-0057,2.01564082405102,205.071728897906,203.056088073855,2.01565082405102,2.01563082405102,H2
SED_S19S-0057,5.01532060178599,205.108116619205,200.092796017419,5.01533060178599,5.01531060178599,H3N_1O1
SED_S19S-0057,4.03130438810101,205.108116619205,201.076812231104,4.03131438810101,4.03129438810101,H4
SED_S19S-0057,3.994919674953,205.108116619205,201.113196944252,3.994929674953,3.994909674953,C_1O1
SED_S19S-0057,2.05202854535,205.108116619205,203.056088073855,2.05203854535,2.05201854535,CH6O_1
SED_S19S-0057,0.0363877212989792,205.108116619205,205.071728897906,0.0363977212989792,0.0363777212989792,CH4_O
SED_S19S-0057,5.989439589489,207.029870854621,201.040431265132,5.98944958948899,5.989429589489,C2H_2O_1
